body_pos_x	body_pos_y	body_pos_z	body_quat_w	body_quat_x	body_quat_y	body_quat_z	joint_pos00	joint_pos01	joint_pos02	joint_pos03	joint_pos04	joint_pos05	joint_pos06	joint_pos07	joint_pos08	joint_pos09	joint_pos10	joint_pos11	joint_pos12	joint_pos13	joint_pos14	joint_pos15	joint_pos16	joint_pos17	joint_pos18	joint_pos19	joint_pos20	joint_vel_00	joint_vel_01	joint_vel_02	joint_vel_03	joint_vel_04	joint_vel_05	joint_vel_06	joint_vel_07	joint_vel_08	joint_vel_09	joint_vel_10	joint_vel_11	joint_vel_12	joint_vel_13	joint_vel_14	joint_vel_15	joint_vel_16	joint_vel_17	joint_vel_18	joint_vel_19	joint_vel_20
0.291213	-1.036386	0.043867	0.012108	-0.738153	0.062628	0.671611	-0.150584	-0.313511	0.085707	-0.166096	0.449885	-0.297121	-0.153817	0.356025	-0.028717	0.105289	0.450712	-0.165811	0.156789	-0.173517	0.285527	0.144565	-0.000876	0.096338	-0.156428	-0.294296	-0.339610	0.031640	0.005931	-0.016990	0.004730	-0.019860	0.015059	0.006860	0.036940	-0.012660	0.013450	0.025789	-0.007380	0.011950	0.015930	0.013700	-0.125179	0.009770	-0.057680	-0.005350	-0.030650	0.038610
0.291225	-1.036457	0.043906	0.012379	-0.738177	0.062467	0.671594	-0.149951	-0.313392	0.085367	-0.166001	0.449488	-0.296820	-0.153680	0.356764	-0.028970	0.105558	0.451228	-0.165959	0.157028	-0.173198	0.285801	0.142061	-0.000681	0.095184	-0.156535	-0.294909	-0.338838	0.041640	0.002410	-0.016645	0.003715	-0.019741	0.014479	0.008890	0.032555	-0.011520	0.012300	0.023975	-0.007475	0.013625	0.020680	0.019350	-0.130655	0.008685	-0.060545	-0.004805	-0.030635	0.039165
0.291236	-1.036507	0.043956	0.012692	-0.738212	0.062241	0.671571	-0.148918	-0.313415	0.085041	-0.165947	0.449095	-0.296542	-0.153461	0.357327	-0.029178	0.105781	0.451671	-0.166110	0.157334	-0.172690	0.286301	0.139339	-0.000529	0.093916	-0.156620	-0.295521	-0.338043	0.062015	-0.003390	-0.017490	-0.000495	-0.017555	0.012065	0.015425	0.018085	-0.011550	0.011790	0.019421	-0.011690	0.019830	0.026455	0.026390	-0.132605	0.006750	-0.066595	-0.003325	-0.030305	0.041800
0.291249	-1.036538	0.044043	0.013188	-0.738237	0.061836	0.671572	-0.147471	-0.313528	0.084668	-0.166021	0.448786	-0.296337	-0.153063	0.357487	-0.029432	0.106030	0.452005	-0.166426	0.157821	-0.172140	0.286857	0.136757	-0.000411	0.092521	-0.156668	-0.296121	-0.337166	0.076770	-0.002420	-0.020145	-0.005210	-0.011185	0.003825	0.010415	-0.001941	-0.015430	0.011550	0.012875	-0.021165	0.030505	0.025705	0.025700	-0.111190	0.005250	-0.068595	-0.002125	-0.030780	0.041395
0.291267	-1.036576	0.044195	0.013503	-0.738206	0.061557	0.671625	-0.145848	-0.313511	0.084235	-0.166156	0.448648	-0.296389	-0.153045	0.357250	-0.029795	0.106243	0.452186	-0.166957	0.158554	-0.171662	0.287329	0.134891	-0.000319	0.091172	-0.156705	-0.296753	-0.336388	0.082140	0.005875	-0.026490	-0.004620	-0.005415	0.002854	-0.022905	-0.016605	-0.025720	0.010085	0.007784	-0.037795	0.042645	0.019730	0.018510	-0.082030	0.004090	-0.059715	-0.005650	-0.032045	0.031345
0.291311	-1.036644	0.044402	0.013773	-0.738128	0.061331	0.671726	-0.144185	-0.313293	0.083608	-0.166206	0.448569	-0.296223	-0.153979	0.356823	-0.030461	0.106433	0.452316	-0.167938	0.159527	-0.171351	0.287597	0.133476	-0.000247	0.090132	-0.156894	-0.297403	-0.335912	0.084035	0.021545	-0.032145	0.005025	0.000031	0.018640	-0.063205	-0.023520	-0.038750	0.003250	0.012700	-0.050140	0.053971	0.017965	0.011595	-0.059860	0.003165	-0.044305	-0.010400	-0.030600	0.011791
0.291357	-1.036698	0.044658	0.014182	-0.737897	0.061076	0.671995	-0.142486	-0.312650	0.082950	-0.165955	0.448649	-0.295643	-0.155573	0.356309	-0.031345	0.106373	0.452694	-0.168962	0.160713	-0.170943	0.287793	0.132497	-0.000192	0.089400	-0.157121	-0.297977	-0.335916	0.074610	0.046605	-0.026705	0.025000	0.007350	0.037716	-0.083540	-0.012385	-0.042050	-0.025770	0.030710	-0.031865	0.053695	0.026310	0.011845	-0.036230	0.002445	-0.025310	-0.011555	-0.024160	-0.009060
0.291359	-1.036706	0.044960	0.014506	-0.737655	0.060855	0.672273	-0.141201	-0.311429	0.082540	-0.165206	0.448863	-0.294714	-0.157321	0.356328	-0.032143	0.105402	0.453544	-0.169213	0.161675	-0.170299	0.288071	0.132027	-0.000149	0.089120	-0.157356	-0.298369	-0.336274	0.053880	0.071500	-0.014895	0.043715	0.006945	0.064610	-0.085970	0.010916	-0.035780	-0.055570	0.051510	-0.006630	0.030360	0.041205	0.015535	-0.013415	0.001910	0.004075	-0.026645	-0.003450	-0.022121
0.291330	-1.036674	0.045393	0.015005	-0.737168	0.060485	0.672830	-0.140331	-0.309790	0.082354	-0.164206	0.448927	-0.293059	-0.159012	0.356745	-0.032776	0.104150	0.454754	-0.169227	0.161927	-0.169295	0.288414	0.131960	-0.000116	0.089563	-0.158187	-0.298115	-0.336801	0.041785	0.095955	-0.008800	0.054835	-0.004725	0.102860	-0.083710	0.016835	-0.032565	-0.048700	0.065956	-0.011785	-0.008690	0.067425	0.014860	0.022690	0.001480	0.047720	-0.069875	0.047580	-0.031120
0.291285	-1.036589	0.046056	0.015379	-0.736716	0.060249	0.673337	-0.139529	-0.307591	0.082188	-0.163013	0.448674	-0.290600	-0.160669	0.357001	-0.033446	0.103454	0.456183	-0.169684	0.161327	-0.167602	0.288665	0.132934	-0.000090	0.091028	-0.160151	-0.296466	-0.337519	0.053000	0.126015	-0.015970	0.068280	-0.020450	0.143845	-0.080080	0.004114	-0.041820	-0.008505	0.070115	-0.050690	-0.049435	0.112595	0.011694	0.101470	0.001140	0.099295	-0.128050	0.100040	-0.045180
