body_pos_x	body_pos_y	body_pos_z	body_quat_w	body_quat_x	body_quat_y	body_quat_z	joint_pos00	joint_pos01	joint_pos02	joint_pos03	joint_pos04	joint_pos05	joint_pos06	joint_pos07	joint_pos08	joint_pos09	joint_pos10	joint_pos11	joint_pos12	joint_pos13	joint_pos14	joint_pos15	joint_pos16	joint_pos17	joint_pos18	joint_pos19	joint_pos20	joint_vel_00	joint_vel_01	joint_vel_02	joint_vel_03	joint_vel_04	joint_vel_05	joint_vel_06	joint_vel_07	joint_vel_08	joint_vel_09	joint_vel_10	joint_vel_11	joint_vel_12	joint_vel_13	joint_vel_14	joint_vel_15	joint_vel_16	joint_vel_17	joint_vel_18	joint_vel_19	joint_vel_20
-0.166485	0.400412	0.079399	0.507003	-0.538230	0.463297	0.488480	0.065256	0.028208	0.068658	0.136149	0.104593	-0.638424	0.128255	-0.073492	0.026349	-0.090781	0.000000	-0.848447	-0.064582	0.027506	0.056497	-0.407626	-0.238900	-0.125340	0.015466	0.869240	-0.030610	-4.583720	0.299090	-0.356050	-0.813700	6.738040	-11.712018	3.739050	-5.656291	-0.252640	-3.678090	0.000000	-1.210895	-1.890610	2.563640	0.970430	-7.231079	-4.287170	5.398520	-2.062230	-3.863701	-3.050490
-0.171102	0.397873	0.059169	0.489014	-0.511128	0.482401	0.516627	-0.026418	0.034190	0.061537	0.119875	0.239354	-0.872664	0.203036	-0.186618	0.021296	-0.164343	0.000000	-0.872665	-0.102394	0.078779	0.075906	-0.552248	-0.324643	-0.017370	-0.025779	0.791966	-0.091620	-2.594240	0.087010	-0.182130	-0.487855	3.516605	-5.856025	1.939025	-2.885775	-0.126360	-1.925575	0.000000	-0.605449	-0.887845	1.207920	0.487610	-3.893430	-2.160294	2.913935	-1.107735	-2.324136	-1.722185
-0.171205	0.397804	0.058876	0.486119	-0.508090	0.485264	0.519665	-0.038514	0.031688	0.061373	0.116635	0.245257	-0.872665	0.205816	-0.188923	0.021295	-0.167804	0.000000	-0.872665	-0.100096	0.075823	0.076001	-0.563363	-0.325312	-0.008783	-0.028843	0.776275	-0.099497	-0.396285	-0.079545	0.003830	-0.093425	0.189165	-0.000016	0.067270	-0.067690	0.012050	-0.102295	0.000000	-0.000001	0.051890	-0.108260	-0.037410	-0.286990	0.012310	0.263545	-0.084290	-0.525075	-0.237140
-0.171125	0.397790	0.058983	0.485357	-0.507223	0.486013	0.520523	-0.042270	0.031008	0.061690	0.116138	0.246920	-0.872665	0.205727	-0.189325	0.021778	-0.168435	0.000000	-0.872665	-0.100319	0.074448	0.074409	-0.563727	-0.324151	-0.006828	-0.029150	0.770963	-0.101105	-0.117215	-0.017170	0.018255	-0.013435	0.066535	0.000000	-0.013010	-0.023345	0.028480	-0.028000	0.000000	0.000000	-0.034170	-0.031150	-0.086205	0.056905	0.037404	0.067635	-0.002215	-0.231770	-0.057530
-0.171004	0.397799	0.059054	0.485234	-0.506966	0.486139	0.520771	-0.043202	0.031002	0.062103	0.116097	0.247919	-0.872665	0.205296	-0.189857	0.022434	-0.168924	0.000000	-0.872665	-0.101463	0.074577	0.072553	-0.561087	-0.323816	-0.006077	-0.028932	0.767004	-0.101799	-0.035005	0.005150	0.020095	0.004900	0.039390	0.000000	-0.021420	-0.023740	0.032670	-0.019085	0.000000	0.000000	-0.053035	0.018915	-0.091680	0.163379	0.004125	0.032095	0.015455	-0.177149	-0.027015
-0.170889	0.397781	0.059093	0.485223	-0.506811	0.486158	0.520914	-0.043670	0.031214	0.062494	0.116334	0.248496	-0.872665	0.204870	-0.190275	0.023085	-0.169198	0.000000	-0.872665	-0.102440	0.075205	0.070742	-0.557192	-0.323986	-0.005544	-0.028532	0.763877	-0.102186	-0.018730	0.006220	0.017870	0.006630	0.027285	0.000000	-0.017625	-0.018575	0.032695	-0.014660	0.000000	0.000000	-0.053145	0.034165	-0.081470	0.201800	-0.013194	0.020545	0.022165	-0.134104	-0.016680
-0.170781	0.397739	0.059189	0.485299	-0.506735	0.486043	0.521025	-0.043951	0.031250	0.062818	0.116363	0.249010	-0.872665	0.204591	-0.190600	0.023742	-0.169510	0.000000	-0.872665	-0.103588	0.075943	0.069294	-0.553015	-0.324343	-0.005255	-0.028045	0.761640	-0.102466	-0.012475	0.003220	0.009670	0.004830	0.019390	0.000000	0.001580	-0.006000	0.025850	-0.012590	0.000000	0.000000	-0.047010	0.023365	-0.062380	0.184090	0.007750	0.006915	0.020900	-0.092384	-0.008875
-0.170664	0.397716	0.059286	0.485428	-0.506742	0.485987	0.520950	-0.044169	0.031343	0.062881	0.116527	0.249272	-0.872665	0.204933	-0.190515	0.024119	-0.169702	0.000000	-0.872665	-0.104320	0.076140	0.068247	-0.549828	-0.323676	-0.005267	-0.027696	0.760182	-0.102541	-0.010010	0.006630	0.004285	0.009170	0.009670	0.000000	0.016170	0.001700	0.018070	-0.001020	0.000000	0.000000	-0.031340	0.000585	-0.046075	0.144419	0.045449	-0.001745	0.016640	-0.072494	0.001650
-0.170655	0.397709	0.059337	0.485453	-0.506745	0.485909	0.520997	-0.044352	0.031516	0.062989	0.116729	0.249397	-0.872665	0.205237	-0.190532	0.024464	-0.169551	0.000000	-0.872665	-0.104842	0.075967	0.067451	-0.547238	-0.322525	-0.005325	-0.027380	0.758740	-0.102400	-0.002575	0.009775	0.003895	0.014800	0.008240	0.000000	0.007700	-0.003400	0.013535	0.007435	0.000000	0.000000	-0.026910	-0.005685	-0.028885	0.093520	0.036380	-0.003960	0.017230	-0.073485	0.007895
-0.170679	0.397685	0.059405	0.485487	-0.506750	0.485810	0.521052	-0.044272	0.031734	0.063037	0.117119	0.249601	-0.872665	0.205241	-0.190651	0.024660	-0.169404	0.000000	-0.872665	-0.105397	0.075912	0.067091	-0.546088	-0.322221	-0.005426	-0.027007	0.757242	-0.102225	0.005420	0.008285	-0.004280	0.022040	0.010230	0.000000	0.004565	-0.005230	0.002640	0.003180	0.000000	0.000000	-0.019750	0.005805	-0.005210	0.037706	-0.007214	-0.003620	0.016945	-0.072370	0.007070
-0.170689	0.397690	0.059484	0.485593	-0.506799	0.485692	0.521016	-0.044135	0.031847	0.062818	0.117611	0.249806	-0.872665	0.205420	-0.190741	0.024570	-0.169424	0.000000	-0.872665	-0.105632	0.076199	0.067243	-0.545730	-0.322814	-0.005470	-0.026702	0.755845	-0.102117	0.008810	0.007120	-0.011895	0.018670	0.010915	0.000000	0.018055	-0.007025	-0.008960	0.003635	0.000000	0.000000	-0.003365	0.023010	0.005530	0.041717	-0.036050	-0.001275	0.012240	-0.084296	0.002455
-0.170734	0.397721	0.059515	0.485667	-0.506757	0.485631	0.521044	-0.043920	0.032019	0.062561	0.117866	0.250038	-0.872665	0.205963	-0.190932	0.024302	-0.169259	0.000000	-0.872665	-0.105531	0.076833	0.067313	-0.544419	-0.323663	-0.005477	-0.026517	0.753870	-0.102127	0.015830	0.009605	-0.011430	0.010390	0.012890	0.000000	0.028210	-0.010150	-0.012825	0.008475	0.000000	0.000000	0.009600	0.033495	0.002425	0.069760	-0.041486	0.004690	0.007900	-0.096528	-0.002365
-0.170788	0.397749	0.059521	0.485728	-0.506778	0.485545	0.521048	-0.043502	0.032231	0.062361	0.118027	0.250322	-0.872665	0.206548	-0.191147	0.024057	-0.169085	0.000000	-0.872665	-0.105248	0.077539	0.067340	-0.542940	-0.324473	-0.005282	-0.026386	0.751984	-0.102212	0.024950	0.006045	-0.010250	0.006150	0.020011	0.000000	0.027960	-0.014735	-0.013980	0.008465	0.000000	0.000000	0.014160	0.036385	-0.001710	0.076623	-0.040420	0.011335	0.012215	-0.109324	-0.000365
-0.170889	0.397763	0.059513	0.485914	-0.506888	0.485310	0.520986	-0.042922	0.032260	0.062151	0.118112	0.250838	-0.872665	0.207082	-0.191521	0.023743	-0.168920	0.000000	-0.872665	-0.104965	0.078288	0.067244	-0.541354	-0.325280	-0.005023	-0.026029	0.749497	-0.102142	0.040940	-0.003440	-0.008315	0.004175	0.037455	0.000000	0.022025	-0.023010	-0.013270	-0.005065	0.000000	0.000000	0.017875	0.045905	-0.001510	0.058316	-0.047079	0.015055	0.020855	-0.148328	-0.005355
-0.170987	0.397758	0.059472	0.486147	-0.507066	0.485047	0.520841	-0.041864	0.032094	0.062028	0.118194	0.251820	-0.872665	0.207429	-0.192067	0.023526	-0.169288	0.000000	-0.872665	-0.104533	0.079375	0.067280	-0.540607	-0.326357	-0.004680	-0.025552	0.746051	-0.102426	0.037415	-0.005285	-0.005370	0.006750	0.041244	0.000000	0.014255	-0.019765	-0.008070	-0.014545	0.000000	0.000000	0.030675	0.053175	-0.002505	0.057100	-0.056686	0.023735	0.019390	-0.179535	-0.023785
-0.171021	0.397756	0.059474	0.486247	-0.507141	0.484891	0.520819	-0.041425	0.032049	0.061936	0.118382	0.252488	-0.872665	0.207652	-0.192312	0.023420	-0.169502	0.000000	-0.872665	-0.103738	0.080415	0.067144	-0.539070	-0.327547	-0.004074	-0.025253	0.742316	-0.103093	0.022860	-0.001735	-0.004910	0.009345	0.021881	0.000000	0.018356	-0.009770	-0.001785	-0.010025	0.000000	0.000000	0.023850	0.046985	-0.007290	0.081724	-0.050095	0.024880	0.011865	-0.175250	-0.028935
