body_pos_x	body_pos_y	body_pos_z	body_quat_w	body_quat_x	body_quat_y	body_quat_z	joint_pos00	joint_pos01	joint_pos02	joint_pos03	joint_pos04	joint_pos05	joint_pos06	joint_pos07	joint_pos08	joint_pos09	joint_pos10	joint_pos11	joint_pos12	joint_pos13	joint_pos14	joint_pos15	joint_pos16	joint_pos17	joint_pos18	joint_pos19	joint_pos20	joint_vel_00	joint_vel_01	joint_vel_02	joint_vel_03	joint_vel_04	joint_vel_05	joint_vel_06	joint_vel_07	joint_vel_08	joint_vel_09	joint_vel_10	joint_vel_11	joint_vel_12	joint_vel_13	joint_vel_14	joint_vel_15	joint_vel_16	joint_vel_17	joint_vel_18	joint_vel_19	joint_vel_20
-0.000087	0.002678	0.679479	0.997147	-0.010617	-0.043003	0.061118	-0.206284	0.060023	0.048871	0.132133	0.291903	-0.243394	-0.026175	-0.011746	-0.029033	0.018639	0.239213	-0.159143	0.039240	0.321585	0.011036	-0.103267	-0.851216	0.326153	-0.019137	0.085476	-0.863380	-0.031290	0.188550	0.142200	0.098940	0.065011	-0.259411	-0.195960	0.001110	-0.286560	-0.049890	0.007200	-0.108241	0.341580	-0.329880	0.099750	-0.578160	0.511530	-0.266010	-0.051720	0.478530	0.435689
0.000948	0.003127	0.679298	0.997211	-0.010846	-0.042039	0.060718	-0.206910	0.063794	0.051715	0.134112	0.293203	-0.248582	-0.030094	-0.011724	-0.034764	0.017641	0.239357	-0.161308	0.046072	0.314987	0.013031	-0.114830	-0.840985	0.320833	-0.020171	0.095047	-0.854666	-0.026275	0.171895	0.136860	0.085685	0.056431	-0.248935	-0.189715	0.008645	-0.280455	-0.044880	-0.002630	-0.101275	0.332905	-0.342395	0.096795	-0.577660	0.515570	-0.282025	-0.056375	0.478250	0.440615
0.002010	0.003565	0.679129	0.997281	-0.011013	-0.040914	0.060295	-0.207335	0.066899	0.054345	0.135560	0.294160	-0.253351	-0.033764	-0.011400	-0.040251	0.016844	0.239108	-0.163194	0.052556	0.307889	0.014908	-0.126373	-0.830593	0.314872	-0.021392	0.104606	-0.845755	-0.011230	0.121930	0.120840	0.045920	0.030690	-0.217510	-0.170980	0.031250	-0.262140	-0.029850	-0.032121	-0.080380	0.306880	-0.379940	0.087930	-0.576160	0.527690	-0.330070	-0.070340	0.477410	0.455391
0.003124	0.003982	0.678980	0.997367	-0.011056	-0.039467	0.059829	-0.207359	0.068671	0.056549	0.135949	0.294431	-0.257283	-0.036933	-0.010474	-0.045250	0.016447	0.238072	-0.164523	0.058347	0.299790	0.016548	-0.137877	-0.819878	0.307630	-0.022985	0.114143	-0.836451	0.000350	0.075550	0.102490	0.011330	0.000650	-0.182470	-0.149170	0.052730	-0.237780	-0.014350	-0.058860	-0.060820	0.274030	-0.407500	0.081430	-0.575080	0.536171	-0.365470	-0.080560	0.476790	0.465760
0.004271	0.004371	0.678844	0.997453	-0.011035	-0.037896	0.059417	-0.207321	0.069921	0.058445	0.136014	0.294186	-0.260650	-0.039730	-0.009291	-0.049762	0.016270	0.236753	-0.165627	0.063517	0.291589	0.018165	-0.149377	-0.809146	0.300253	-0.024614	0.123678	-0.827125	0.002676	0.055945	0.090985	-0.000790	-0.018670	-0.161335	-0.135190	0.062345	-0.219555	-0.006130	-0.069480	-0.052375	0.250780	-0.411294	0.080545	-0.574959	0.536770	-0.370525	-0.081925	0.476700	0.466539
0.005433	0.004745	0.678713	0.997537	-0.010983	-0.036263	0.059034	-0.207252	0.070909	0.060188	0.135917	0.293684	-0.263736	-0.042341	-0.007980	-0.054032	0.016202	0.235293	-0.166618	0.068378	0.283338	0.019770	-0.160875	-0.798407	0.292809	-0.026262	0.133211	-0.817789	0.003870	0.039945	0.079560	-0.009240	-0.032625	-0.142050	-0.119925	0.066270	-0.196320	-0.001470	-0.074340	-0.047490	0.222705	-0.415035	0.079470	-0.574845	0.537600	-0.375660	-0.083595	0.476580	0.467551
0.006602	0.005075	0.678592	0.997613	-0.010892	-0.034624	0.058745	-0.207166	0.071519	0.061627	0.135644	0.292881	-0.266332	-0.044527	-0.006640	-0.057615	0.016211	0.233780	-0.167526	0.072426	0.274988	0.021344	-0.172370	-0.787642	0.285227	-0.027958	0.142741	-0.808423	0.003820	0.028830	0.070300	-0.014005	-0.040460	-0.127360	-0.106585	0.065500	-0.173965	-0.000020	-0.075320	-0.045260	0.196545	-0.418250	0.078195	-0.574736	0.538661	-0.380425	-0.085415	0.476465	0.468801
0.007765	0.005390	0.678473	0.997684	-0.010800	-0.033013	0.058490	-0.207099	0.072062	0.063000	0.135357	0.292066	-0.268830	-0.046604	-0.005360	-0.060991	0.016201	0.232280	-0.168428	0.076240	0.266608	0.022898	-0.183864	-0.776861	0.277592	-0.029679	0.152270	-0.799037	0.002410	0.023880	0.065290	-0.015070	-0.041419	-0.120009	-0.098380	0.061030	-0.158380	-0.001430	-0.074300	-0.044780	0.179040	-0.420470	0.076710	-0.574630	0.539950	-0.384370	-0.087230	0.476390	0.470300
0.008914	0.005674	0.678358	0.997746	-0.010703	-0.031458	0.058302	-0.207070	0.072474	0.064239	0.135041	0.291224	-0.271133	-0.048463	-0.004199	-0.063950	0.016154	0.230808	-0.169318	0.079587	0.258169	0.024412	-0.195356	-0.766044	0.269852	-0.031447	0.161796	-0.789611	0.001290	0.019080	0.059430	-0.015390	-0.041620	-0.111160	-0.088490	0.055670	-0.139070	-0.002860	-0.070530	-0.045040	0.157540	-0.421859	0.075520	-0.574579	0.540790	-0.386990	-0.088670	0.476320	0.471270
0.010037	0.005930	0.678247	0.997801	-0.010611	-0.029979	0.058160	-0.207048	0.072825	0.065377	0.134741	0.290401	-0.273277	-0.050144	-0.003133	-0.066553	0.016087	0.229459	-0.170230	0.082541	0.249734	0.025919	-0.206848	-0.755229	0.262112	-0.033225	0.171322	-0.780186	0.001020	0.016830	0.055650	-0.014805	-0.040960	-0.105235	-0.081860	0.052100	-0.125690	-0.003595	-0.065895	-0.045910	0.142795	-0.421726	0.075220	-0.574610	0.540762	-0.386975	-0.089015	0.476290	0.471224
