body_pos_x	body_pos_y	body_pos_z	body_quat_w	body_quat_x	body_quat_y	body_quat_z	joint_pos00	joint_pos01	joint_pos02	joint_pos03	joint_pos04	joint_pos05	joint_pos06	joint_pos07	joint_pos08	joint_pos09	joint_pos10	joint_pos11	joint_pos12	joint_pos13	joint_pos14	joint_pos15	joint_pos16	joint_pos17	joint_pos18	joint_pos19	joint_pos20	joint_vel_00	joint_vel_01	joint_vel_02	joint_vel_03	joint_vel_04	joint_vel_05	joint_vel_06	joint_vel_07	joint_vel_08	joint_vel_09	joint_vel_10	joint_vel_11	joint_vel_12	joint_vel_13	joint_vel_14	joint_vel_15	joint_vel_16	joint_vel_17	joint_vel_18	joint_vel_19	joint_vel_20
-0.541002	1.010000	0.672000	0.726000	-0.017000	-0.017000	-0.687000	-0.153000	0.061860	0.054920	0.139800	0.253000	-0.338000	-0.087680	-0.009758	-0.036300	0.009334	0.230000	-0.194600	0.169400	-0.159200	0.176800	-0.680600	-0.248200	-0.096500	-0.139600	0.711800	-0.369200	0.135000	0.041000	-0.019500	0.055000	0.000000	-0.004999	0.008500	-0.017800	-0.014500	0.005000	0.000000	0.020000	0.025000	0.060000	0.065000	0.180000	-0.085000	0.126000	0.025000	-0.075001	-0.090000
-0.541002	1.010000	0.672000	0.726000	-0.017000	-0.017000	-0.687000	-0.150000	0.062700	0.054500	0.141000	0.253000	-0.338000	-0.087500	-0.010100	-0.036600	0.009460	0.230000	-0.194000	0.170000	-0.158000	0.178000	-0.677000	-0.250000	-0.093800	-0.139000	0.710000	-0.371000	0.135000	0.037500	-0.016500	0.045000	-0.015000	0.000000	0.006000	-0.013050	-0.012000	0.008700	-0.015000	0.015000	0.015000	0.060000	0.045000	0.165002	-0.075001	0.129000	0.045000	-0.120001	-0.075001
-0.540995	1.010000	0.672000	0.724000	-0.016900	-0.017100	-0.690000	-0.147600	0.063360	0.054260	0.141600	0.252400	-0.338000	-0.087440	-0.010280	-0.036780	0.009682	0.229400	-0.194000	0.170000	-0.156800	0.178600	-0.674000	-0.251200	-0.091340	-0.137800	0.707000	-0.372200	0.120000	0.033000	-0.012500	0.030000	-0.025000	0.000000	0.003000	-0.009500	-0.010000	0.010600	-0.025000	-0.005000	0.000000	0.060000	0.020000	0.145000	-0.065000	0.125500	0.065000	-0.160000	-0.060000
-0.541003	1.010000	0.672000	0.721683	-0.016802	-0.017222	-0.691480	-0.145200	0.064020	0.054000	0.142200	0.252000	-0.338000	-0.087380	-0.010480	-0.037000	0.009884	0.229000	-0.194200	0.170000	-0.155600	0.178800	-0.671200	-0.252600	-0.088780	-0.136400	0.703600	-0.373400	0.120000	0.033000	-0.014000	0.030000	-0.010000	0.000000	0.003000	-0.011000	-0.013000	0.009100	-0.010000	-0.020000	0.000000	0.060000	-0.010000	0.129999	-0.079999	0.133000	0.080000	-0.189997	-0.060000
-0.541003	1.010000	0.672000	0.720483	-0.016802	-0.017282	-0.692680	-0.142800	0.064680	0.053700	0.142800	0.252000	-0.338000	-0.087320	-0.010720	-0.037300	0.010046	0.229000	-0.194800	0.170000	-0.154400	0.178200	-0.668800	-0.254400	-0.086020	-0.134600	0.699400	-0.374600	0.140000	0.037000	-0.015000	0.030000	0.000000	0.000000	0.002000	-0.015000	-0.014000	0.002300	0.010000	-0.020000	0.010000	0.070000	-0.040000	0.129999	-0.080001	0.159000	0.120000	-0.260000	-0.060000
-0.541001	1.010000	0.672000	0.719617	-0.016800	-0.017420	-0.693816	-0.139600	0.065500	0.053400	0.143400	0.252000	-0.338000	-0.087300	-0.011080	-0.037560	0.009976	0.229400	-0.195000	0.170400	-0.152800	0.177200	-0.666000	-0.255800	-0.082420	-0.131600	0.693200	-0.375800	0.170000	0.043000	-0.015000	0.030000	0.000000	0.000000	0.000500	-0.019500	-0.012500	-0.006400	0.025000	-0.005000	0.025000	0.085000	-0.055000	0.145000	-0.065000	0.190500	0.165000	-0.335002	-0.060000
-0.540996	1.010000	0.672000	0.719000	-0.016800	-0.017600	-0.695000	-0.136000	0.066400	0.053100	0.144000	0.252000	-0.338000	-0.087300	-0.011500	-0.037800	0.009790	0.230000	-0.195000	0.171000	-0.151000	0.176000	-0.663000	-0.257000	-0.078400	-0.128000	0.686000	-0.377000	0.150000	0.037500	-0.012000	0.030000	-0.015000	0.000000	0.000000	-0.022500	-0.010500	-0.015600	0.030000	-0.015000	0.000000	0.090000	-0.075000	0.119999	-0.074999	0.175500	0.165000	-0.315000	-0.060000
-0.541001	1.010000	0.672000	0.717828	-0.016801	-0.017721	-0.695627	-0.133600	0.067000	0.052920	0.144600	0.251400	-0.338000	-0.087300	-0.011980	-0.037980	0.009352	0.230600	-0.195600	0.170400	-0.149200	0.174200	-0.661200	-0.258800	-0.075400	-0.125000	0.680600	-0.378200	0.115000	0.029500	-0.008000	0.025000	-0.025000	0.000000	-0.000500	-0.023500	-0.008000	-0.022250	0.025000	-0.030000	-0.025000	0.090000	-0.090000	0.084999	-0.085000	0.149000	0.150000	-0.264999	-0.060000
-0.541003	1.010000	0.672000	0.717022	-0.016821	-0.017841	-0.696222	-0.131400	0.067580	0.052780	0.145000	0.251000	-0.338000	-0.087320	-0.012440	-0.038120	0.008900	0.231000	-0.196200	0.170000	-0.147400	0.172400	-0.659600	-0.260400	-0.072440	-0.122000	0.675400	-0.379400	0.100000	0.028000	-0.005000	0.010000	-0.010000	0.000000	-0.002000	-0.022000	-0.005000	-0.023300	0.010000	-0.030000	-0.010000	0.090000	-0.090000	0.070001	-0.070000	0.146000	0.150000	-0.250000	-0.060001
-0.540998	1.010000	0.672000	0.717022	-0.016881	-0.017961	-0.696822	-0.129600	0.068120	0.052720	0.145000	0.251000	-0.338000	-0.087380	-0.012860	-0.038180	0.008420	0.231000	-0.196800	0.170000	-0.145600	0.170600	-0.658400	-0.261600	-0.069560	-0.119000	0.670600	-0.380600	0.090000	0.029000	-0.001000	0.010000	0.000000	0.000000	-0.005000	-0.022000	0.000000	-0.025500	0.010000	-0.030000	0.000000	0.100000	-0.110000	0.070001	-0.070000	0.151000	0.170000	-0.270000	-0.060000
