body_pos_x	body_pos_y	body_pos_z	body_quat_w	body_quat_x	body_quat_y	body_quat_z	joint_pos00	joint_pos01	joint_pos02	joint_pos03	joint_pos04	joint_pos05	joint_pos06	joint_pos07	joint_pos08	joint_pos09	joint_pos10	joint_pos11	joint_pos12	joint_pos13	joint_pos14	joint_pos15	joint_pos16	joint_pos17	joint_pos18	joint_pos19	joint_pos20	joint_vel_00	joint_vel_01	joint_vel_02	joint_vel_03	joint_vel_04	joint_vel_05	joint_vel_06	joint_vel_07	joint_vel_08	joint_vel_09	joint_vel_10	joint_vel_11	joint_vel_12	joint_vel_13	joint_vel_14	joint_vel_15	joint_vel_16	joint_vel_17	joint_vel_18	joint_vel_19	joint_vel_20
-0.254344	0.776156	0.767693	0.005330	-0.011303	-0.006479	0.999901	0.000196	-0.237466	-0.061569	-0.140543	0.467305	-0.348676	-0.019584	0.035296	0.030920	-0.026387	0.210025	-0.253839	0.026288	0.019387	-0.015511	-0.387514	-0.186561	-0.049196	0.007456	0.513486	-0.152709	0.002529	-0.039088	-0.000058	-0.017868	0.018618	-0.002852	-0.028436	0.030101	0.004983	0.011389	0.006273	-0.010994	-0.005648	0.017233	0.002739	-0.042492	-0.135909	-0.006200	-0.001046	0.050843	-0.104623
-0.254404	0.776147	0.767691	0.005375	-0.011454	-0.006518	0.999899	0.000246	-0.238248	-0.061570	-0.140900	0.467678	-0.348733	-0.020153	0.035898	0.031019	-0.026160	0.210150	-0.254059	0.026175	0.019731	-0.015456	-0.388364	-0.189279	-0.049320	0.007436	0.514503	-0.154802	0.005059	-0.036594	0.003227	-0.024399	0.014774	-0.001062	-0.030373	0.028300	0.008141	0.010976	0.008398	-0.006916	-0.002764	0.017224	0.003044	-0.040459	-0.135186	-0.005558	-0.001111	0.048389	-0.103813
-0.254389	0.776227	0.767673	0.005361	-0.011538	-0.006532	0.999898	0.000398	-0.238930	-0.061440	-0.141519	0.467896	-0.348719	-0.020799	0.036428	0.031245	-0.025948	0.210361	-0.254115	0.026177	0.020076	-0.015389	-0.389132	-0.191969	-0.049418	0.007412	0.515422	-0.156862	0.006602	-0.032289	0.003782	-0.033177	0.009369	-0.006884	-0.004217	0.027404	0.008350	0.010743	0.010371	-0.001352	-0.002178	0.017282	0.003979	-0.038272	-0.133601	-0.004375	-0.001031	0.043727	-0.102176
-0.254472	0.776225	0.767688	0.005301	-0.011746	-0.006585	0.999895	0.000511	-0.239539	-0.061419	-0.142227	0.468053	-0.349008	-0.020321	0.036994	0.031353	-0.025730	0.210565	-0.254113	0.026087	0.020423	-0.015297	-0.389895	-0.194623	-0.049495	0.007394	0.516252	-0.158889	0.003240	-0.032226	-0.000641	-0.033784	0.010820	-0.005277	0.007542	0.026138	0.004748	0.011085	0.009774	-0.002813	-0.006166	0.015830	0.005206	-0.034864	-0.132248	-0.003138	-0.000803	0.040394	-0.100549
-0.254500	0.776264	0.767678	0.005248	-0.011839	-0.006590	0.999894	0.000528	-0.240219	-0.061466	-0.142870	0.468329	-0.348930	-0.020497	0.037474	0.031435	-0.025505	0.210752	-0.254228	0.025930	0.020709	-0.015181	-0.390527	-0.197259	-0.049544	0.007380	0.517037	-0.160884	0.001411	-0.029315	-0.006971	-0.027735	0.012891	-0.006858	0.006526	0.021915	-0.001292	0.014997	0.008305	-0.005126	-0.003551	0.015140	0.006129	-0.032059	-0.130816	-0.001813	-0.000864	0.038695	-0.099026
-0.254584	0.776280	0.767671	0.005186	-0.011948	-0.006535	0.999894	0.000567	-0.240712	-0.061698	-0.143337	0.468568	-0.349283	-0.020060	0.037871	0.031302	-0.025130	0.210897	-0.254318	0.025945	0.021028	-0.015052	-0.391177	-0.199856	-0.049567	0.007360	0.517800	-0.162850	-0.001744	-0.021097	-0.011303	-0.017410	0.016259	-0.009516	0.008444	0.016378	-0.008619	0.011797	0.008802	-0.012396	0.006706	0.016053	0.007025	-0.034682	-0.128527	-0.000557	-0.001242	0.037235	-0.097538
-0.254683	0.776280	0.767671	0.005114	-0.012091	-0.006466	0.999893	0.000458	-0.241063	-0.061918	-0.143567	0.468980	-0.349310	-0.020159	0.038129	0.031090	-0.025033	0.211104	-0.254724	0.026199	0.021351	-0.014900	-0.391914	-0.202400	-0.049566	0.007330	0.518527	-0.164785	-0.003830	-0.019748	-0.006275	-0.018405	0.012787	0.000086	-0.009478	0.015788	-0.003783	0.000426	0.011634	-0.013073	0.005476	0.015007	0.008232	-0.034523	-0.126597	0.000555	-0.001398	0.035183	-0.096052
-0.254686	0.776360	0.767659	0.004990	-0.012137	-0.006426	0.999893	0.000414	-0.241502	-0.061949	-0.144073	0.469080	-0.349279	-0.020439	0.038502	0.031150	-0.025113	0.211363	-0.254841	0.026164	0.021628	-0.014723	-0.392558	-0.204920	-0.049545	0.007304	0.519207	-0.166692	-0.003676	-0.022784	-0.001449	-0.024087	0.006548	0.002660	-0.004202	0.019010	0.003116	0.004521	0.007348	-0.007835	0.001014	0.013406	0.009145	-0.029051	-0.125417	0.001243	-0.001236	0.033118	-0.094703
-0.254782	0.776396	0.767659	0.004823	-0.012317	-0.006419	0.999892	0.000311	-0.241974	-0.061976	-0.144530	0.469241	-0.349204	-0.020327	0.038889	0.031215	-0.024852	0.211398	-0.255037	0.026239	0.021887	-0.014534	-0.393076	-0.207416	-0.049516	0.007281	0.519851	-0.168574	-0.004567	-0.019236	-0.005911	-0.016908	0.010048	0.000582	0.002402	0.014868	-0.002035	0.010746	0.006154	-0.008746	0.002978	0.012912	0.009713	-0.025585	-0.123816	0.001768	-0.001426	0.031777	-0.093516
-0.254893	0.776405	0.767649	0.004744	-0.012398	-0.006371	0.999892	0.000231	-0.242271	-0.062185	-0.144749	0.469482	-0.349256	-0.020343	0.039097	0.031069	-0.024683	0.211609	-0.255190	0.026284	0.022145	-0.014334	-0.393582	-0.209873	-0.049474	0.007247	0.520478	-0.170433	-0.001292	-0.016902	-0.007124	-0.013698	0.008181	0.000660	-0.002938	0.012866	-0.003281	0.001240	0.010329	-0.010683	-0.000796	0.012983	0.010776	-0.026559	-0.121799	0.002064	-0.001526	0.030281	-0.092416
