body_pos_x	body_pos_y	body_pos_z	body_quat_w	body_quat_x	body_quat_y	body_quat_z	joint_pos00	joint_pos01	joint_pos02	joint_pos03	joint_pos04	joint_pos05	joint_pos06	joint_pos07	joint_pos08	joint_pos09	joint_pos10	joint_pos11	joint_pos12	joint_pos13	joint_pos14	joint_pos15	joint_pos16	joint_pos17	joint_pos18	joint_pos19	joint_pos20	joint_vel_00	joint_vel_01	joint_vel_02	joint_vel_03	joint_vel_04	joint_vel_05	joint_vel_06	joint_vel_07	joint_vel_08	joint_vel_09	joint_vel_10	joint_vel_11	joint_vel_12	joint_vel_13	joint_vel_14	joint_vel_15	joint_vel_16	joint_vel_17	joint_vel_18	joint_vel_19	joint_vel_20
0.113277	-0.005846	0.690768	0.088409	0.035939	-0.006142	0.995417	0.000192	0.014122	-0.064049	0.082218	0.343268	-0.290360	0.162993	-0.026032	0.046715	0.017275	0.155112	-0.163501	-0.013146	0.237495	0.045034	-0.550504	-0.395890	0.277964	-0.099339	0.364997	-0.523885	-0.002920	-0.015890	-0.002850	-0.010780	-0.000821	0.003670	0.002009	0.017760	0.002470	0.015980	0.002711	-0.003070	0.015290	0.052610	-0.036470	0.232270	-0.047991	0.006180	-0.054430	0.046690	0.012589
0.113152	-0.005812	0.690757	0.088362	0.035782	-0.006110	0.995427	0.000134	0.013804	-0.064106	0.082002	0.343252	-0.290287	0.163033	-0.025677	0.046764	0.017595	0.155166	-0.163562	-0.012840	0.238547	0.044305	-0.545859	-0.396850	0.278088	-0.100428	0.365931	-0.523633	-0.000680	-0.014860	-0.000040	-0.011875	0.001180	0.000320	-0.000060	0.016575	0.007575	0.019065	0.002250	-0.006395	0.002540	0.054905	-0.056480	0.249906	-0.039180	0.004955	-0.048330	0.050395	0.009856
0.113032	-0.005807	0.690763	0.088391	0.035649	-0.006132	0.995429	0.000165	0.013528	-0.064051	0.081743	0.343315	-0.290347	0.162991	-0.025369	0.047018	0.018038	0.155202	-0.163757	-0.013044	0.239691	0.042775	-0.540508	-0.397457	0.278162	-0.101272	0.367013	-0.523491	-0.002525	-0.014365	0.005395	-0.010870	0.006490	-0.006515	-0.000480	0.017640	0.006670	0.016505	0.004525	-0.012170	-0.009415	0.054100	-0.084750	0.280795	-0.027695	0.003965	-0.030730	0.048055	0.003105
0.112937	-0.005735	0.690773	0.088458	0.035480	-0.006150	0.995429	0.000033	0.013230	-0.063890	0.081568	0.343511	-0.290547	0.163014	-0.024971	0.047031	0.018255	0.155347	-0.164049	-0.013217	0.240711	0.040915	-0.534627	-0.397958	0.278246	-0.101657	0.367853	-0.523509	-0.004630	-0.013605	0.009035	-0.008620	0.010770	-0.011759	-0.002120	0.018220	0.004770	0.013445	0.008480	-0.014885	-0.004330	0.050175	-0.096170	0.285760	-0.023230	0.005750	-0.011900	0.031535	-0.006810
0.112853	-0.005638	0.690774	0.088474	0.035389	-0.006143	0.995431	-0.000020	0.012983	-0.063689	0.081398	0.343746	-0.290818	0.162906	-0.024640	0.047209	0.018575	0.155541	-0.164352	-0.013218	0.241698	0.038928	-0.529077	-0.398386	0.278392	-0.101748	0.368274	-0.523763	-0.002790	-0.009790	0.011255	-0.010440	0.009470	-0.014395	-0.010750	0.015505	0.009595	0.015980	0.011370	-0.012245	-0.001555	0.045445	-0.098265	0.263020	-0.020359	0.007020	0.003170	0.010826	-0.016849
0.112775	-0.005509	0.690761	0.088516	0.035304	-0.006122	0.995430	-0.000079	0.012838	-0.063440	0.081150	0.343890	-0.291123	0.162584	-0.024351	0.047415	0.018894	0.155802	-0.164539	-0.013279	0.242529	0.036984	-0.524106	-0.398772	0.278527	-0.101530	0.368286	-0.524183	-0.004805	-0.006105	0.014970	-0.011500	0.007765	-0.015815	-0.022590	0.012820	0.009905	0.013810	0.012840	-0.009665	0.000540	0.036050	-0.092560	0.231549	-0.019009	0.008250	0.012980	0.003089	-0.030281
0.112699	-0.005338	0.690746	0.088525	0.035199	-0.006061	0.995433	-0.000213	0.012739	-0.063090	0.080938	0.344057	-0.291450	0.162002	-0.024127	0.047605	0.019128	0.156055	-0.164739	-0.013196	0.243140	0.035226	-0.519815	-0.399147	0.278722	-0.101229	0.368398	-0.524974	-0.002440	-0.004925	0.017535	-0.010650	0.004189	-0.016876	-0.031070	0.010370	0.014390	0.012965	0.012910	-0.009006	-0.005430	0.028595	-0.082295	0.207610	-0.015505	0.010570	0.009640	0.014140	-0.048865
0.112613	-0.005186	0.690734	0.088499	0.035147	-0.006039	0.995438	-0.000177	0.012641	-0.062739	0.080724	0.344058	-0.291798	0.161341	-0.023936	0.047991	0.019413	0.156318	-0.164899	-0.013496	0.243673	0.033692	-0.515802	-0.399392	0.278950	-0.101144	0.368852	-0.526138	0.004920	-0.004645	0.017095	-0.012525	-0.000516	-0.016490	-0.038995	0.010845	0.015650	0.009975	0.015205	-0.012575	-0.021440	0.022780	-0.055855	0.179777	-0.015620	0.008765	-0.000475	0.031856	-0.065370
0.112546	-0.004966	0.690754	0.088409	0.035019	-0.005935	0.995451	-0.000016	0.012553	-0.062407	0.080437	0.344036	-0.292110	0.160442	-0.023694	0.048231	0.019527	0.156663	-0.165242	-0.014054	0.244051	0.032991	-0.512624	-0.399772	0.279073	-0.101248	0.369672	-0.527589	0.014780	-0.007055	0.015920	-0.016805	0.000415	-0.014684	-0.050015	0.011475	0.013020	0.006805	0.019876	-0.022405	-0.026005	0.017520	-0.018685	0.123066	-0.020926	0.005690	-0.011655	0.044215	-0.072685
0.112445	-0.004716	0.690755	0.088393	0.034940	-0.005836	0.995456	0.000415	0.012359	-0.062102	0.080052	0.344074	-0.292385	0.159341	-0.023477	0.048511	0.019685	0.157113	-0.165795	-0.014536	0.244374	0.032945	-0.510879	-0.400229	0.279177	-0.101611	0.370620	-0.529045	0.022820	-0.010360	0.017465	-0.028730	0.006101	-0.007030	-0.055210	0.010965	0.016325	0.007280	0.025850	-0.032280	-0.033710	0.012565	0.011690	0.046709	-0.024185	0.004105	-0.020050	0.058300	-0.071695
