body_pos_x	body_pos_y	body_pos_z	body_quat_w	body_quat_x	body_quat_y	body_quat_z	joint_pos00	joint_pos01	joint_pos02	joint_pos03	joint_pos04	joint_pos05	joint_pos06	joint_pos07	joint_pos08	joint_pos09	joint_pos10	joint_pos11	joint_pos12	joint_pos13	joint_pos14	joint_pos15	joint_pos16	joint_pos17	joint_pos18	joint_pos19	joint_pos20	joint_vel_00	joint_vel_01	joint_vel_02	joint_vel_03	joint_vel_04	joint_vel_05	joint_vel_06	joint_vel_07	joint_vel_08	joint_vel_09	joint_vel_10	joint_vel_11	joint_vel_12	joint_vel_13	joint_vel_14	joint_vel_15	joint_vel_16	joint_vel_17	joint_vel_18	joint_vel_19	joint_vel_20
-0.759245	0.003189	0.792598	0.999073	0.012812	-0.003905	-0.040913	-0.159239	-0.214762	-0.014992	-0.044922	0.466731	-0.313300	0.013492	0.354456	0.028944	0.324804	0.487698	-0.248456	-0.010196	-0.378764	0.210815	-0.732229	0.001248	-0.582373	-0.269395	0.634018	0.087260	0.485720	0.028712	-0.002260	0.017654	-0.010893	-0.011063	-0.006135	-0.019334	-0.011029	-0.021402	0.001955	-0.027937	0.011855	1.178035	0.099761	1.042549	-0.871216	2.564055	1.371024	2.409024	0.000000
-0.759149	0.003189	0.792569	0.998907	0.012843	-0.003847	-0.044780	-0.151500	-0.214303	-0.015046	-0.044553	0.466505	-0.313576	0.013335	0.354318	0.028763	0.324567	0.487757	-0.249109	-0.009922	-0.356082	0.212312	-0.712554	-0.016141	-0.535368	-0.245461	0.669503	0.087260	0.304866	0.023835	-0.002525	0.015734	-0.013949	-0.010287	0.002428	-0.003390	-0.004451	0.003923	0.005506	-0.026939	-0.002293	1.090480	0.059690	0.915393	-0.876190	2.169895	1.010910	1.348475	0.000000
-0.759084	0.003234	0.792527	0.998814	0.012861	-0.003821	-0.046810	-0.147044	-0.213808	-0.015093	-0.044293	0.466173	-0.313712	0.013589	0.354321	0.028766	0.324961	0.487918	-0.249534	-0.010288	-0.335145	0.213202	-0.695614	-0.033799	-0.495577	-0.228959	0.687957	0.087260	0.202482	0.018808	-0.004329	0.011671	-0.010886	-0.008243	0.003095	-0.006882	-0.005965	-0.004032	0.006778	-0.023558	-0.000520	1.008479	0.036219	0.784838	-0.869234	1.861337	0.675860	0.685564	-0.614415
-0.758960	0.003210	0.792556	0.998743	0.012881	-0.003797	-0.048292	-0.143401	-0.213551	-0.015219	-0.044086	0.466069	-0.313906	0.013458	0.354043	0.028525	0.324406	0.488028	-0.250051	-0.009943	-0.315743	0.213761	-0.681161	-0.050910	-0.460914	-0.218427	0.696925	0.062683	0.149332	0.015486	-0.004126	0.008768	-0.002825	-0.009689	-0.000872	-0.013886	-0.009825	-0.011578	0.002091	-0.021581	0.015806	0.932924	0.023099	0.670154	-0.836689	1.644095	0.409832	0.316116	-1.470978
-0.758842	0.003242	0.792509	0.998661	0.012906	-0.003752	-0.049950	-0.141071	-0.213189	-0.015258	-0.043942	0.466060	-0.314099	0.013554	0.353765	0.028373	0.324498	0.488002	-0.250397	-0.009655	-0.297828	0.214126	-0.668807	-0.067267	-0.429813	-0.212565	0.700601	0.028421	0.102709	0.019231	-0.004176	0.009292	-0.007352	-0.007847	0.004713	-0.006543	-0.006999	-0.000016	0.004937	-0.022467	0.001858	0.861311	0.015605	0.568353	-0.803231	1.480060	0.221556	0.102529	-1.619137
-0.758756	0.003258	0.792517	0.998624	0.012916	-0.003752	-0.050688	-0.139293	-0.212781	-0.015386	-0.043715	0.465775	-0.314220	0.013647	0.353781	0.028245	0.324405	0.488226	-0.250950	-0.009868	-0.281291	0.214385	-0.658427	-0.083039	-0.401712	-0.209565	0.701027	-0.002082	0.081956	0.017270	-0.004909	0.009706	-0.010102	-0.005303	-0.000620	-0.004128	-0.007223	-0.009599	0.008927	-0.023758	0.000406	0.795238	0.011414	0.482377	-0.758890	1.340755	0.111460	-0.031763	-1.450863
-0.758605	0.003266	0.792522	0.998596	0.012936	-0.003710	-0.051238	-0.137793	-0.212498	-0.015454	-0.043554	0.465656	-0.314311	0.013530	0.353600	0.028084	0.324114	0.488359	-0.251347	-0.009639	-0.266018	0.214583	-0.649512	-0.097622	-0.376183	-0.208107	0.699331	-0.029614	0.057133	0.013104	-0.003490	0.004231	-0.005761	-0.005367	0.006571	-0.004340	-0.005139	-0.002955	0.006516	-0.018519	-0.001119	0.732299	0.009359	0.411920	-0.712529	1.215252	0.050842	-0.121562	-1.287530
-0.758485	0.003307	0.792488	0.998564	0.012932	-0.003651	-0.051856	-0.137007	-0.212257	-0.015526	-0.043545	0.465545	-0.314434	0.013910	0.353608	0.028039	0.324287	0.488487	-0.251691	-0.009913	-0.251999	0.214759	-0.641950	-0.111540	-0.353102	-0.207531	0.696164	-0.053583	0.043738	0.008043	-0.003663	0.001984	-0.004221	-0.008681	0.006249	-0.002825	-0.004539	-0.007238	0.005973	-0.017139	-0.001636	0.673362	0.008614	0.352010	-0.669261	1.103446	0.018863	-0.177011	-1.148283
-0.758327	0.003283	0.792517	0.998550	0.012933	-0.003589	-0.052139	-0.136043	-0.212176	-0.015600	-0.043474	0.465487	-0.314658	0.013780	0.353487	0.027902	0.323825	0.488598	-0.252033	-0.009705	-0.239084	0.214927	-0.635432	-0.124393	-0.332045	-0.207352	0.692250	-0.075545	0.038010	0.007409	-0.002409	-0.000198	-0.009913	-0.006752	-0.003268	0.003254	-0.003637	-0.008138	0.009603	-0.022480	-0.001044	0.618735	0.008518	0.306593	-0.614098	1.005200	0.003577	-0.207606	-1.039711
-0.758167	0.003290	0.792486	0.998534	0.012953	-0.003441	-0.052453	-0.135487	-0.211961	-0.015622	-0.043553	0.465148	-0.314704	0.013779	0.353738	0.027894	0.323962	0.488871	-0.252590	-0.009955	-0.227249	0.215100	-0.629686	-0.136104	-0.312894	-0.207388	0.687860	-0.095172	0.015300	0.004217	-0.001831	0.004508	-0.013252	-0.007086	0.000630	0.015803	0.001360	0.013611	0.009889	-0.023326	-0.004725	0.567024	0.008979	0.267868	-0.565714	0.914957	-0.004336	-0.219116	-0.932533
