body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20
0.000523,0.004580,0.758196,0.680054,-0.015644,-0.003272,-0.732988,0.007977,-0.261440,0.015187,-0.175372,0.616516,-0.359739,0.136928,0.162933,0.071056,0.151336,0.501931,-0.319481,-0.021873,-0.013043,0.039204,-0.390125,-0.040430,-0.014425,-0.015133,0.352050,-0.052440,0.011172,-1.632404,-0.215541,-1.261715,1.645151,-0.576081,0.000422,1.199655,0.137823,0.771048,1.277220,-0.453143,-0.000141,-0.226932,0.158784,-2.045073,-0.293274,-0.203564,-0.033258,1.858401,-0.385594
0.000616,0.005367,0.757725,0.680583,-0.014953,-0.002530,-0.732514,0.008120,-0.291034,0.010929,-0.198327,0.646373,-0.370111,0.136911,0.184564,0.073635,0.165030,0.524961,-0.327618,-0.021924,-0.017846,0.042097,-0.429054,-0.046263,-0.018680,-0.015667,0.387482,-0.060137,0.001516,-1.334126,-0.206442,-1.040680,1.343854,-0.465596,0.000701,0.973120,0.114539,0.606229,1.035507,-0.367291,0.003845,-0.249129,0.131229,-1.850124,-0.288734,-0.219213,-0.020947,1.685427,-0.382942
0.000724,0.006037,0.757311,0.680990,-0.014562,-0.002128,-0.732145,0.008037,-0.314805,0.006929,-0.217000,0.670270,-0.378363,0.136956,0.201857,0.075638,0.175585,0.543351,-0.334173,-0.021719,-0.023009,0.044453,-0.464130,-0.051979,-0.023193,-0.015971,0.419467,-0.067758,-0.005871,-1.072389,-0.190281,-0.847552,1.078965,-0.364488,0.001372,0.777902,0.089749,0.468444,0.828415,-0.301445,0.003903,-0.262498,0.106743,-1.672339,-0.282176,-0.228788,-0.010955,1.525733,-0.378627
0.000822,0.006582,0.756958,0.681420,-0.014221,-0.001819,-0.731752,0.007885,-0.333930,0.003317,-0.232229,0.689532,-0.384690,0.136966,0.215680,0.077225,0.183768,0.558098,-0.339676,-0.021768,-0.028346,0.046366,-0.495948,-0.057550,-0.027832,-0.016105,0.448511,-0.075282,-0.004671,-0.855168,-0.166103,-0.685014,0.860822,-0.279928,0.001714,0.618167,0.073534,0.365080,0.663936,-0.239657,0.000488,-0.268148,0.085967,-1.514795,-0.274241,-0.232762,-0.002699,1.381254,-0.372954
0.000891,0.007031,0.756677,0.682000,-0.013835,-0.001448,-0.731220,0.007850,-0.349011,0.000285,-0.244400,0.704703,-0.389560,0.137024,0.226584,0.078579,0.190188,0.569908,-0.343759,-0.021700,-0.033734,0.047891,-0.524722,-0.062949,-0.032504,-0.016079,0.474717,-0.082676,-0.000925,-0.673121,-0.141848,-0.542978,0.675659,-0.214184,0.000978,0.491695,0.056441,0.280682,0.527966,-0.185952,0.004119,-0.268254,0.067912,-1.369319,-0.265386,-0.232615,0.004432,1.245470,-0.366075
0.000970,0.007407,0.756437,0.682362,-0.013615,-0.001274,-0.730886,0.007848,-0.360855,-0.002357,-0.253948,0.716558,-0.393257,0.137005,0.235347,0.079483,0.194995,0.579216,-0.347114,-0.021603,-0.039076,0.049083,-0.550721,-0.068165,-0.037136,-0.015928,0.498330,-0.089925,0.000042,-0.530064,-0.122944,-0.432182,0.526674,-0.161252,0.000357,0.393252,0.040593,0.213970,0.418560,-0.148524,0.001636,-0.264627,0.052770,-1.238127,-0.256294,-0.229161,0.009727,1.124118,-0.358601
0.001034,0.007706,0.756255,0.682869,-0.013321,-0.001069,-0.730419,0.007852,-0.370214,-0.004633,-0.261687,0.725770,-0.396010,0.137039,0.242314,0.080203,0.198747,0.586651,-0.349700,-0.021634,-0.044320,0.050002,-0.574247,-0.073201,-0.041670,-0.015690,0.519682,-0.097020,-0.003898,-0.418152,-0.107686,-0.348451,0.402966,-0.117031,-0.000057,0.315066,0.026420,0.163101,0.326721,-0.118736,0.000940,-0.258172,0.039853,-1.115443,-0.246886,-0.223411,0.013563,1.013252,-0.350635
0.001110,0.007953,0.756124,0.683224,-0.013101,-0.000939,-0.730091,0.007693,-0.377581,-0.006664,-0.267886,0.732677,-0.397939,0.137003,0.247950,0.080540,0.201519,0.592285,-0.351863,-0.021566,-0.049403,0.050677,-0.595338,-0.078040,-0.046073,-0.015385,0.538860,-0.103950,-0.012075,-0.329862,-0.095742,-0.282411,0.304860,-0.082666,0.002042,0.253760,0.013044,0.123589,0.251929,-0.096164,0.003311,-0.249327,0.028914,-1.002853,-0.237392,-0.216969,0.016284,0.912106,-0.342506
0.001178,0.008120,0.756005,0.683560,-0.012876,-0.000816,-0.729780,0.007369,-0.383408,-0.008462,-0.272984,0.737964,-0.399317,0.137120,0.252464,0.080725,0.203691,0.596728,-0.353547,-0.021502,-0.054293,0.051159,-0.614361,-0.082696,-0.050349,-0.015039,0.556166,-0.110721,-0.020393,-0.263162,-0.083800,-0.231229,0.230168,-0.061586,0.005706,0.206667,0.004437,0.093627,0.194046,-0.077394,0.003507,-0.238579,0.019907,-0.902459,-0.228005,-0.210558,0.018484,0.820345,-0.334367
0.001239,0.008265,0.755912,0.684001,-0.012537,-0.000638,-0.729373,0.006877,-0.388107,-0.010016,-0.277135,0.741883,-0.400402,0.137231,0.256217,0.080717,0.205264,0.600047,-0.354959,-0.021425,-0.058946,0.051473,-0.631437,-0.087161,-0.054495,-0.014646,0.571674,-0.117325,-0.028164,-0.211574,-0.075791,-0.189957,0.173062,-0.045372,0.001492,0.166907,-0.003303,0.071980,0.146557,-0.065646,0.006288,-0.226223,0.012189,-0.810502,-0.218322,-0.204066,0.020810,0.733188,-0.326172
