body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20
0.003466,0.000282,0.790004,0.056041,-0.000640,-0.005407,0.998414,-0.035744,-0.128784,0.040309,0.003725,0.266013,-0.200781,-0.073029,0.130000,0.021431,0.068471,0.291570,-0.188815,0.041889,-0.073053,0.045364,-0.669129,-0.138758,-0.035590,-0.006019,0.545784,-0.106343,-0.007172,-0.033943,0.000170,-0.025257,0.044963,-0.013604,0.003394,0.013604,0.001706,0.011369,0.023057,-0.008975,-0.007355,-0.163268,-0.000816,-0.598055,-0.226194,-0.089195,0.013220,0.431998,-0.182929
0.003480,0.000320,0.789953,0.055942,-0.000610,-0.005371,0.998419,-0.035868,-0.129453,0.040296,0.003333,0.266817,-0.201187,-0.073050,0.130241,0.021480,0.068626,0.291912,-0.189088,0.041778,-0.076282,0.045332,-0.680733,-0.143241,-0.037353,-0.005760,0.554185,-0.109977,-0.007819,-0.026189,0.001230,-0.019193,0.037058,-0.016136,-0.004783,0.007735,0.000994,0.005869,0.016436,-0.014746,0.006250,-0.159377,-0.002126,-0.562139,-0.222040,-0.086821,0.012648,0.407840,-0.180390
0.003492,0.000361,0.789972,0.055893,-0.000572,-0.005364,0.998422,-0.036057,-0.129831,0.040358,0.002958,0.267495,-0.201427,-0.073220,0.130309,0.021471,0.068706,0.292228,-0.189405,0.042139,-0.079428,0.045279,-0.691614,-0.147640,-0.039063,-0.005513,0.562098,-0.113558,-0.007998,-0.020849,-0.001120,-0.018702,0.028497,-0.007636,0.001313,0.004378,-0.002528,0.004068,0.011452,-0.010731,0.005108,-0.155248,-0.003095,-0.528510,-0.217942,-0.084021,0.012111,0.384773,-0.177768
0.003502,0.000376,0.789982,0.055817,-0.000561,-0.005325,0.998427,-0.036188,-0.130287,0.040251,0.002585,0.267957,-0.201492,-0.072997,0.130416,0.021379,0.068789,0.292370,-0.189518,0.041983,-0.082492,0.045208,-0.701873,-0.151959,-0.040714,-0.005276,0.569576,-0.117088,-0.007868,-0.018979,-0.002024,-0.013670,0.018994,-0.009884,0.001073,0.003840,-0.001106,0.001372,0.004116,-0.010364,0.001600,-0.150972,-0.003714,-0.498420,-0.213948,-0.081050,0.011643,0.362831,-0.175125
0.003517,0.000404,0.789955,0.055699,-0.000568,-0.005321,0.998433,-0.036371,-0.130590,0.040277,0.002411,0.268255,-0.201822,-0.073177,0.130463,0.021426,0.068761,0.292392,-0.189820,0.042203,-0.085467,0.045130,-0.711551,-0.156198,-0.042305,-0.005047,0.576611,-0.120563,-0.009973,-0.013484,-0.001221,-0.012299,0.013231,-0.005845,-0.001598,0.000594,-0.001486,-0.001536,0.001094,-0.007567,0.004821,-0.146874,-0.004013,-0.469190,-0.210042,-0.077844,0.011189,0.341645,-0.172369
0.003538,0.000416,0.789986,0.055583,-0.000561,-0.005287,0.998440,-0.036586,-0.130826,0.040202,0.002093,0.268486,-0.201726,-0.073061,0.130440,0.021320,0.068727,0.292413,-0.189820,0.042175,-0.088367,0.045047,-0.720641,-0.160361,-0.043827,-0.004829,0.583242,-0.123982,-0.010266,-0.012638,-0.004073,-0.012516,0.009169,-0.003466,0.001774,-0.001399,-0.003996,-0.002708,-0.002917,-0.003567,-0.003201,-0.143200,-0.004148,-0.440930,-0.206370,-0.074530,0.010621,0.322613,-0.169576
0.003561,0.000425,0.789946,0.055376,-0.000563,-0.005241,0.998452,-0.036782,-0.131096,0.040114,0.001910,0.268622,-0.201961,-0.073106,0.130407,0.021266,0.068653,0.292276,-0.189962,0.042075,-0.091195,0.044964,-0.729188,-0.164452,-0.045286,-0.004622,0.589515,-0.127346,-0.011904,-0.007119,-0.001410,-0.008363,0.008227,-0.007841,-0.007311,-0.005369,-0.002308,-0.007307,-0.002647,-0.008952,0.003591,-0.139460,-0.004018,-0.413355,-0.202700,-0.070956,0.010135,0.304203,-0.166830
0.003579,0.000451,0.789951,0.055227,-0.000523,-0.005239,0.998460,-0.037063,-0.131111,0.040146,0.001759,0.268815,-0.202040,-0.073353,0.130225,0.021227,0.068435,0.292307,-0.190178,0.042319,-0.093945,0.044887,-0.737175,-0.168469,-0.046666,-0.004423,0.595410,-0.130656,-0.012689,-0.003047,-0.002498,-0.008266,0.008267,0.000147,-0.003642,-0.008383,-0.004131,-0.008935,-0.000319,-0.007074,0.000519,-0.135788,-0.003818,-0.386494,-0.199032,-0.066952,0.009598,0.286850,-0.164157
0.003604,0.000450,0.789962,0.055063,-0.000485,-0.005195,0.998469,-0.037290,-0.131218,0.040014,0.001580,0.268952,-0.201955,-0.073252,0.130071,0.021101,0.068295,0.292263,-0.190245,0.042096,-0.096626,0.044812,-0.744648,-0.172414,-0.047964,-0.004238,0.600989,-0.133913,-0.014195,-0.000336,-0.003130,-0.003710,0.008196,-0.004047,-0.000633,-0.009795,-0.003836,-0.011431,0.000785,-0.007870,-0.001284,-0.131967,-0.003655,-0.361957,-0.195435,-0.063051,0.009115,0.270654,-0.161542
0.003625,0.000466,0.789925,0.054793,-0.000401,-0.005183,0.998484,-0.037630,-0.131124,0.040021,0.001610,0.269143,-0.202202,-0.073379,0.129833,0.021074,0.067978,0.292339,-0.190493,0.042268,-0.099224,0.044741,-0.751653,-0.176286,-0.049188,-0.004059,0.606236,-0.137117,-0.017184,0.005947,-0.001212,-0.001953,0.008678,-0.004024,0.002598,-0.013817,-0.003295,-0.015838,0.005236,-0.009723,0.009360,-0.127918,-0.003286,-0.339012,-0.191946,-0.058964,0.008859,0.254737,-0.158869
