body_pos_x	body_pos_y	body_pos_z	body_quat_w	body_quat_x	body_quat_y	body_quat_z	joint_pos00	joint_pos01	joint_pos02	joint_pos03	joint_pos04	joint_pos05	joint_pos06	joint_pos07	joint_pos08	joint_pos09	joint_pos10	joint_pos11	joint_pos12	joint_pos13	joint_pos14	joint_pos15	joint_pos16	joint_pos17	joint_pos18	joint_pos19	joint_pos20	joint_vel_00	joint_vel_01	joint_vel_02	joint_vel_03	joint_vel_04	joint_vel_05	joint_vel_06	joint_vel_07	joint_vel_08	joint_vel_09	joint_vel_10	joint_vel_11	joint_vel_12	joint_vel_13	joint_vel_14	joint_vel_15	joint_vel_16	joint_vel_17	joint_vel_18	joint_vel_19	joint_vel_20
-0.015509	-0.818099	0.762429	0.728427	-0.005281	-0.002265	0.685099	-0.059128	-0.242165	-0.021093	-0.091863	0.497106	-0.387949	0.003569	0.491453	0.118988	0.409052	0.749329	-0.369976	-0.021177	0.000081	0.054020	-0.736849	-0.184926	-0.077007	-0.002928	0.741336	-0.137266	-0.006565	-0.219857	-0.030610	-0.178898	0.236145	-0.077264	0.002963	0.060283	0.000420	0.020452	0.047201	-0.010288	0.001541	-0.084035	0.024161	-0.297672	-0.255204	-0.097994	0.013872	0.317445	-0.158828
-0.015502	-0.818232	0.762388	0.728258	-0.005264	-0.002180	0.685279	-0.059260	-0.246562	-0.021705	-0.095441	0.501828	-0.389494	0.003629	0.492659	0.118996	0.409461	0.750273	-0.370181	-0.021146	-0.001599	0.054503	-0.742802	-0.190031	-0.078967	-0.002650	0.747685	-0.140442	-0.006355	-0.213621	-0.030773	-0.173271	0.230667	-0.074425	0.004120	0.056840	-0.000555	0.016586	0.046560	-0.013735	0.001503	-0.082440	0.023792	-0.287504	-0.253620	-0.095711	0.013285	0.308059	-0.157316
-0.015484	-0.818364	0.762345	0.728069	-0.005241	-0.002103	0.685481	-0.059383	-0.250709	-0.022324	-0.098794	0.506332	-0.390926	0.003734	0.493727	0.118966	0.409716	0.751191	-0.370525	-0.021117	-0.003216	0.054971	-0.748349	-0.195071	-0.080835	-0.002396	0.753658	-0.143558	-0.005261	-0.199375	-0.031263	-0.167791	0.218382	-0.069024	0.005573	0.050177	-0.003099	0.010162	0.045496	-0.017283	0.001196	-0.078959	0.023062	-0.267586	-0.250413	-0.091218	0.012080	0.289424	-0.154342
-0.015468	-0.818490	0.762308	0.727779	-0.005167	-0.002014	0.685789	-0.059470	-0.254537	-0.022956	-0.102152	0.510564	-0.392255	0.003851	0.494666	0.118872	0.409868	0.752093	-0.370873	-0.021098	-0.004758	0.055425	-0.753506	-0.200047	-0.082615	-0.002167	0.759262	-0.146616	-0.003963	-0.185273	-0.030863	-0.160115	0.206654	-0.066607	0.004765	0.045131	-0.006200	0.003658	0.044528	-0.018281	0.002540	-0.074997	0.022325	-0.248997	-0.247159	-0.086855	0.010769	0.271682	-0.151458
-0.015478	-0.818606	0.762266	0.727585	-0.005125	-0.001975	0.685995	-0.059541	-0.258120	-0.023559	-0.105198	0.514598	-0.393590	0.003925	0.495532	0.118718	0.409862	0.752972	-0.371256	-0.021015	-0.006216	0.055864	-0.758309	-0.204958	-0.084310	-0.001966	0.764526	-0.149616	-0.002621	-0.172751	-0.029447	-0.147797	0.196779	-0.063843	0.001628	0.041254	-0.007960	0.002319	0.042303	-0.016503	0.000950	-0.070657	0.021545	-0.232352	-0.243916	-0.082752	0.009417	0.255564	-0.148729
-0.015479	-0.818719	0.762221	0.727411	-0.005065	-0.001947	0.686181	-0.059575	-0.261447	-0.024134	-0.108064	0.518435	-0.394809	0.003917	0.496316	0.118554	0.409960	0.753785	-0.371533	-0.021060	-0.007584	0.056287	-0.762800	-0.209804	-0.085926	-0.001790	0.769484	-0.152565	-0.002417	-0.158717	-0.030807	-0.136443	0.188150	-0.057779	0.002893	0.035562	-0.009941	0.000614	0.042215	-0.012635	-0.003376	-0.066077	0.020689	-0.217053	-0.240574	-0.078952	0.008224	0.240409	-0.146111
-0.015491	-0.818848	0.762197	0.727115	-0.004942	-0.001929	0.686496	-0.059638	-0.264469	-0.024791	-0.110656	0.522124	-0.395902	0.004040	0.496955	0.118320	0.409886	0.754661	-0.371762	-0.021150	-0.008859	0.056692	-0.766991	-0.214581	-0.087468	-0.001637	0.774142	-0.155461	0.002494	-0.146984	-0.029962	-0.122609	0.177708	-0.057465	0.005707	0.030614	-0.010585	-0.003340	0.039810	-0.014949	-0.003715	-0.061089	0.019751	-0.203185	-0.237142	-0.075239	0.006985	0.226551	-0.143542
-0.015498	-0.818932	0.762155	0.727009	-0.004841	-0.001924	0.686609	-0.059475	-0.267326	-0.025332	-0.112969	0.525543	-0.397108	0.004145	0.497541	0.118131	0.409827	0.755377	-0.372131	-0.021209	-0.010027	0.057077	-0.770927	-0.219289	-0.088935	-0.001511	0.778546	-0.158307	0.003773	-0.134909	-0.027361	-0.112784	0.165990	-0.058442	0.003189	0.026958	-0.010741	-0.003375	0.035958	-0.017238	0.000847	-0.055856	0.019203	-0.190766	-0.233702	-0.071619	0.005790	0.213802	-0.141158
-0.015510	-0.819059	0.762111	0.726825	-0.004725	-0.001929	0.686804	-0.059487	-0.269865	-0.025885	-0.115167	0.528764	-0.398239	0.004168	0.498033	0.117891	0.409751	0.756099	-0.372451	-0.021116	-0.011093	0.057460	-0.774622	-0.223929	-0.090332	-0.001405	0.782694	-0.161107	-0.002156	-0.116827	-0.024772	-0.105199	0.158799	-0.055205	0.008018	0.016464	-0.010731	-0.004737	0.036685	-0.015591	0.002859	-0.050931	0.018885	-0.180218	-0.230229	-0.068195	0.004671	0.202316	-0.138789
-0.015522	-0.819160	0.762081	0.726682	-0.004585	-0.002016	0.686956	-0.059562	-0.271999	-0.026323	-0.117177	0.531895	-0.399316	0.004466	0.498199	0.117701	0.409637	0.756845	-0.372755	-0.021095	-0.012065	0.057833	-0.778136	-0.228499	-0.091663	-0.001324	0.786639	-0.163858	-0.001604	-0.107323	-0.018839	-0.093651	0.146158	-0.052842	0.006237	0.012746	-0.007811	-0.004579	0.029624	-0.016773	-0.000360	-0.046195	0.018547	-0.170144	-0.226815	-0.064996	0.003744	0.191356	-0.136436
-0.015533	-0.819242	0.762055	0.726606	-0.004527	-0.002041	0.687037	-0.059551	-0.274158	-0.026639	-0.118913	0.534610	-0.400353	0.004417	0.498543	0.117578	0.409568	0.757284	-0.373122	-0.021131	-0.012941	0.058202	-0.781427	-0.233001	-0.092932	-0.001255	0.790348	-0.166565	0.000635	-0.102407	-0.015356	-0.081230	0.130178	-0.046726	-0.001537	0.015104	-0.003146	0.001542	0.021708	-0.010975	-0.004765	-0.041468	0.018422	-0.158408	-0.223403	-0.062098	0.003467	0.180012	-0.134159
-0.015532	-0.819326	0.762026	0.726549	-0.004450	-0.002065	0.687098	-0.059536	-0.276095	-0.026937	-0.120426	0.537102	-0.401185	0.004404	0.498804	0.117576	0.409699	0.757713	-0.373194	-0.021285	-0.013723	0.058569	-0.784472	-0.237435	-0.094147	-0.001186	0.793839	-0.169225	0.001954	-0.092899	-0.013756	-0.071047	0.117220	-0.038991	-0.001559	0.013873	0.000869	0.008068	0.019053	-0.003073	-0.000828	-0.036980	0.018408	-0.147198	-0.220077	-0.059649	0.003031	0.167359	-0.131912
-0.015538	-0.819408	0.761998	0.726539	-0.004420	-0.002074	0.687108	-0.059473	-0.277874	-0.027189	-0.121755	0.539299	-0.401913	0.004355	0.499098	0.117613	0.409891	0.758046	-0.373245	-0.021164	-0.014420	0.058938	-0.787315	-0.241804	-0.095318	-0.001134	0.797043	-0.171841	0.002421	-0.083793	-0.012283	-0.060307	0.103424	-0.035824	-0.005147	0.015508	-0.000164	0.007519	0.015587	-0.005972	0.007445	-0.032890	0.018606	-0.137486	-0.216898	-0.057046	0.002323	0.154795	-0.129658
-0.015553	-0.819495	0.761979	0.726528	-0.004357	-0.002090	0.687120	-0.059439	-0.279447	-0.027429	-0.122838	0.541239	-0.402618	0.004198	0.499424	0.117569	0.410000	0.758336	-0.373432	-0.020987	-0.015039	0.059314	-0.789972	-0.246111	-0.096429	-0.001093	0.800031	-0.174411	0.006040	-0.078142	-0.011402	-0.056268	0.087909	-0.030942	-0.001643	0.018450	-0.000264	0.007224	0.012232	-0.008219	0.005220	-0.028977	0.018866	-0.127970	-0.213758	-0.053945	0.001887	0.144343	-0.127431
-0.015550	-0.819570	0.761962	0.726546	-0.004364	-0.002067	0.687101	-0.059231	-0.281000	-0.027645	-0.124006	0.542816	-0.403150	0.004289	0.499836	0.117602	0.410180	0.758536	-0.373574	-0.020955	-0.015579	0.059693	-0.792434	-0.250355	-0.097476	-0.001059	0.802816	-0.176938	0.007915	-0.073214	-0.010510	-0.057317	0.075266	-0.024129	0.004137	0.016758	0.004329	0.013777	0.011265	-0.006275	0.008433	-0.025455	0.019276	-0.119549	-0.210809	-0.051074	0.001442	0.134391	-0.125405
-0.015567	-0.819677	0.761940	0.726569	-0.004355	-0.002046	0.687077	-0.059123	-0.282376	-0.027849	-0.125131	0.544250	-0.403583	0.004364	0.500094	0.117742	0.410551	0.758787	-0.373683	-0.020650	-0.016057	0.060085	-0.794753	-0.254543	-0.098472	-0.001035	0.805407	-0.179427	0.008968	-0.069644	-0.010068	-0.051877	0.067036	-0.019795	0.004686	0.018105	0.006010	0.015000	0.010502	-0.009065	0.018759	-0.022139	0.019846	-0.111973	-0.207890	-0.048278	0.000990	0.124227	-0.123372
-0.015566	-0.819770	0.761927	0.726640	-0.004373	-0.002010	0.687002	-0.058873	-0.283786	-0.028048	-0.126081	0.545497	-0.403942	0.004477	0.500560	0.117843	0.410780	0.758956	-0.373936	-0.020205	-0.016465	0.060487	-0.796913	-0.258670	-0.099407	-0.001019	0.807785	-0.181873	0.009089	-0.065986	-0.009346	-0.047171	0.060193	-0.017726	0.003127	0.021560	0.005100	0.017577	0.009876	-0.008726	0.022980	-0.019121	0.020332	-0.104554	-0.205060	-0.045267	0.000589	0.114314	-0.121391
-0.015572	-0.819884	0.761909	0.726671	-0.004368	-0.001994	0.686969	-0.058759	-0.285015	-0.028223	-0.127018	0.546658	-0.404292	0.004489	0.500957	0.117946	0.411254	0.759182	-0.374032	-0.019731	-0.016822	0.060898	-0.798936	-0.262745	-0.100282	-0.001011	0.809979	-0.184283	0.004534	-0.058985	-0.007979	-0.042734	0.057468	-0.015798	-0.000259	0.021087	0.005228	0.022422	0.012255	-0.005339	0.025826	-0.016659	0.020659	-0.097878	-0.202445	-0.042363	0.000239	0.105301	-0.119505
-0.015583	-0.820002	0.761904	0.726736	-0.004351	-0.001991	0.686900	-0.058691	-0.286145	-0.028367	-0.127790	0.547796	-0.404574	0.004466	0.501404	0.118052	0.411677	0.759446	-0.374150	-0.019172	-0.017131	0.061313	-0.800828	-0.266768	-0.101102	-0.001009	0.811997	-0.186654	0.003326	-0.054593	-0.007381	-0.033839	0.055432	-0.014013	-0.002447	0.024828	0.004884	0.021589	0.014675	0.002019	0.018008	-0.014243	0.020717	-0.091746	-0.199890	-0.039425	-0.000142	0.096990	-0.117548
-0.015600	-0.820121	0.761883	0.726793	-0.004331	-0.001987	0.686840	-0.058626	-0.287199	-0.028518	-0.128371	0.548875	-0.404853	0.004391	0.501950	0.118141	0.412117	0.759769	-0.373952	-0.019011	-0.017392	0.061727	-0.802606	-0.270741	-0.101859	-0.001017	0.813859	-0.188985	0.001299	-0.050563	-0.006184	-0.026737	0.052771	-0.012148	-0.003544	0.029142	0.005820	0.020602	0.016968	0.016357	0.000509	-0.011962	0.020696	-0.086753	-0.197485	-0.036291	-0.000615	0.089407	-0.115582
-0.015626	-0.820254	0.761883	0.726872	-0.004322	-0.001990	0.686757	-0.058639	-0.288168	-0.028614	-0.128860	0.549906	-0.405060	0.004325	0.502569	0.118285	0.412501	0.760125	-0.373496	-0.019151	-0.017610	0.062141	-0.804298	-0.274667	-0.102553	-0.001034	0.815574	-0.191277	-0.002379	-0.048462	-0.003833	-0.023075	0.047845	-0.013719	-0.001195	0.028259	0.009158	0.023533	0.014246	0.014222	-0.005825	-0.010194	0.020625	-0.082578	-0.195151	-0.032962	-0.001112	0.081919	-0.113548
-0.015651	-0.820383	0.761867	0.726953	-0.004307	-0.002006	0.686671	-0.058721	-0.289137	-0.028671	-0.129294	0.550789	-0.405401	0.004343	0.503080	0.118508	0.413059	0.760339	-0.373383	-0.019243	-0.017799	0.062552	-0.805909	-0.278547	-0.103178	-0.001062	0.817136	-0.193527	-0.003601	-0.045795	-0.001991	-0.020722	0.044926	-0.014029	0.001622	0.023590	0.011790	0.024700	0.013176	0.007418	-0.004226	-0.009069	0.020381	-0.078742	-0.192895	-0.029667	-0.001562	0.074983	-0.111525
