body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20
-0.000000,0.000000,0.762390,0.660756,-0.013089,-0.005457,-0.750467,0.027128,-0.089381,-0.001433,-0.036416,0.432358,-0.285459,0.136695,0.065334,0.056125,0.181435,0.365108,-0.207876,-0.080688,0.006515,0.015177,-0.141515,-0.011255,0.001246,-0.006745,0.077036,-0.002685,-0.065479,-3.705734,-0.157030,-2.614625,4.072505,-1.718622,0.003456,3.171525,0.491507,2.255929,3.600791,-1.411559,0.008582,0.119361,0.422129,-4.050994,-0.390496,-0.029552,-0.185625,2.435319,-0.078240
0.000060,0.001830,0.761690,0.660807,-0.012125,-0.004336,-0.750446,0.025818,-0.163496,-0.004574,-0.088708,0.513808,-0.319831,0.136764,0.128764,0.065955,0.226554,0.437123,-0.236107,-0.080517,0.008903,0.023619,-0.222535,-0.019065,0.000655,-0.010457,0.125742,-0.004250,-0.033214,-2.714749,-0.139174,-1.937433,2.925406,-1.187981,-0.003659,2.289758,0.370529,1.610687,2.562996,-0.983541,0.010534,0.069380,0.314296,-3.039515,-0.303434,-0.036406,-0.135900,1.824743,-0.063820
0.000062,0.002854,0.761297,0.660860,-0.011571,-0.003738,-0.750411,0.025799,-0.197971,-0.007000,-0.113913,0.549375,-0.332978,0.136549,0.156924,0.070946,0.245863,0.467627,-0.247218,-0.080267,0.009291,0.027749,-0.263095,-0.023392,-0.000210,-0.012181,0.150026,-0.005238,0.002339,-1.607586,-0.126847,-1.180475,1.651347,-0.600141,-0.010602,1.297207,0.238916,0.881908,1.401912,-0.504711,0.011199,0.005006,0.197809,-1.965836,-0.216915,-0.051894,-0.080870,1.173191,-0.051547
0.000066,0.003755,0.760902,0.660984,-0.010848,-0.002914,-0.750316,0.025912,-0.227799,-0.009648,-0.135927,0.579862,-0.343837,0.136340,0.180653,0.075512,0.261830,0.493200,-0.256296,-0.080069,0.009103,0.031532,-0.301168,-0.027742,-0.001421,-0.013692,0.172670,-0.006312,0.004256,-1.379832,-0.135378,-1.028440,1.407029,-0.504902,-0.014152,1.088630,0.214876,0.727802,1.171954,-0.412721,0.009442,-0.022116,0.180638,-1.844359,-0.217546,-0.067840,-0.070440,1.093191,-0.055517
0.000067,0.004572,0.760560,0.661095,-0.010426,-0.002448,-0.750226,0.025969,-0.253164,-0.012415,-0.155051,0.605656,-0.353174,0.135983,0.200469,0.079541,0.274975,0.514506,-0.263727,-0.079889,0.008406,0.034974,-0.336870,-0.032094,-0.002924,-0.014998,0.193753,-0.007459,0.006347,-1.172964,-0.131694,-0.881977,1.196177,-0.427561,-0.008221,0.907959,0.189896,0.598522,0.977372,-0.340448,0.009782,-0.045737,0.164004,-1.730274,-0.217366,-0.081055,-0.060667,1.019022,-0.058851
0.000064,0.005259,0.760210,0.661181,-0.010066,-0.002035,-0.750156,0.026166,-0.274718,-0.014915,-0.171206,0.627709,-0.360939,0.136012,0.216971,0.083108,0.285771,0.532295,-0.269914,-0.079677,0.007273,0.038092,-0.370379,-0.036436,-0.004663,-0.016119,0.213431,-0.008666,0.012452,-0.987431,-0.117043,-0.736903,1.011631,-0.355897,-0.004394,0.748721,0.166618,0.488546,0.809959,-0.279140,0.005274,-0.066782,0.147588,-1.619399,-0.216515,-0.091711,-0.051392,0.949352,-0.061638
0.000061,0.005847,0.759918,0.661223,-0.009652,-0.001503,-0.750126,0.026468,-0.292662,-0.017097,-0.184527,0.646121,-0.367410,0.135807,0.230418,0.086206,0.294517,0.546904,-0.274892,-0.079678,0.005735,0.040878,-0.401646,-0.040755,-0.006593,-0.017054,0.231727,-0.009924,0.014955,-0.822628,-0.100335,-0.611208,0.845549,-0.296248,-0.008141,0.613008,0.146542,0.396536,0.667071,-0.225027,0.003594,-0.085172,0.132015,-1.513498,-0.215138,-0.100081,-0.042777,0.884667,-0.063918
0.000025,0.006353,0.759652,0.661203,-0.009457,-0.001206,-0.750146,0.026764,-0.307623,-0.018929,-0.195655,0.661531,-0.372789,0.135686,0.241491,0.088969,0.301632,0.558978,-0.278915,-0.079534,0.003866,0.043372,-0.430919,-0.045042,-0.008666,-0.017830,0.248817,-0.011223,0.014513,-0.681150,-0.085156,-0.509497,0.701664,-0.248820,-0.008198,0.502135,0.128689,0.323361,0.546488,-0.183566,0.004642,-0.100903,0.117717,-1.414385,-0.213346,-0.106540,-0.034976,0.825404,-0.065718
-0.000020,0.006785,0.759423,0.661143,-0.009225,-0.000822,-0.750203,0.027048,-0.319908,-0.020503,-0.204907,0.674187,-0.377363,0.135479,0.250504,0.091354,0.307451,0.568763,-0.282235,-0.079493,0.001699,0.045586,-0.458221,-0.049289,-0.010854,-0.018453,0.264743,-0.012553,0.016242,-0.560072,-0.071465,-0.419952,0.577880,-0.204118,-0.010391,0.406964,0.110456,0.262920,0.443007,-0.149988,0.001793,-0.114844,0.104294,-1.318064,-0.211156,-0.111440,-0.027566,0.769141,-0.067098
-0.000085,0.007157,0.759241,0.661066,-0.009110,-0.000618,-0.750272,0.027414,-0.330026,-0.021787,-0.212453,0.684646,-0.380954,0.135270,0.257770,0.093388,0.312149,0.576698,-0.284914,-0.079462,-0.000727,0.047544,-0.483641,-0.053488,-0.013124,-0.018932,0.279583,-0.013907,0.020755,-0.461440,-0.057189,-0.344279,0.477532,-0.161241,-0.008273,0.329416,0.094381,0.214708,0.359438,-0.119330,-0.000319,-0.126584,0.092285,-1.227848,-0.208682,-0.114789,-0.020788,0.718174,-0.068086
