body_pos_x	body_pos_y	body_pos_z	body_quat_w	body_quat_x	body_quat_y	body_quat_z	joint_pos00	joint_pos01	joint_pos02	joint_pos03	joint_pos04	joint_pos05	joint_pos06	joint_pos07	joint_pos08	joint_pos09	joint_pos10	joint_pos11	joint_pos12	joint_pos13	joint_pos14	joint_pos15	joint_pos16	joint_pos17	joint_pos18	joint_pos19	joint_pos20	joint_vel_00	joint_vel_01	joint_vel_02	joint_vel_03	joint_vel_04	joint_vel_05	joint_vel_06	joint_vel_07	joint_vel_08	joint_vel_09	joint_vel_10	joint_vel_11	joint_vel_12	joint_vel_13	joint_vel_14	joint_vel_15	joint_vel_16	joint_vel_17	joint_vel_18	joint_vel_19	joint_vel_20
0.424390	-0.117476	0.067454	0.020601	0.661638	-0.015980	0.749370	0.019743	-0.497481	0.256427	-0.301816	0.217742	0.155706	-0.261799	0.378380	-0.162252	0.069831	0.141128	0.206834	0.261799	0.298510	0.402312	-0.955078	-0.498381	0.449444	-0.448893	0.699599	-0.816533	0.092050	-1.070651	-0.318450	-0.937250	-0.110549	0.186450	0.000000	0.988950	0.136400	0.595900	-0.008800	0.174700	0.000000	0.435001	0.173999	0.562251	-0.706552	0.626750	-0.099699	-0.758001	-0.621399
0.424055	-0.117743	0.069173	0.020768	0.657532	-0.016039	0.752970	0.021584	-0.518894	0.250058	-0.320561	0.215531	0.159435	-0.261799	0.398159	-0.159524	0.081749	0.140952	0.210328	0.261799	0.307210	0.405792	-0.943833	-0.512512	0.461979	-0.450887	0.684439	-0.828961	0.137750	-1.178975	-0.355350	-1.005025	-0.131875	0.219725	0.000000	1.082200	0.140450	0.636325	-0.021825	0.202000	0.000000	0.482751	0.197375	0.648150	-0.796875	0.636600	-0.108675	-0.789326	-0.669350
0.423586	-0.118098	0.070885	0.021148	0.652605	-0.015898	0.757236	0.025253	-0.544640	0.242213	-0.342017	0.212467	0.164495	-0.261799	0.421668	-0.156634	0.095284	0.140255	0.214914	0.261799	0.317820	0.410207	-0.929152	-0.530256	0.474908	-0.453240	0.668026	-0.843307	0.224625	-1.357025	-0.421475	-1.113425	-0.158800	0.273975	0.000000	1.239750	0.150575	0.708000	-0.042825	0.250125	0.000000	0.573975	0.252150	0.799575	-0.960699	0.649750	-0.127400	-0.833701	-0.756399
0.422977	-0.118481	0.072571	0.021814	0.647130	-0.015487	0.761910	0.030569	-0.573175	0.233199	-0.365098	0.209179	0.170394	-0.261799	0.447749	-0.153501	0.110069	0.139239	0.220333	0.261799	0.330169	0.415878	-0.911850	-0.550940	0.487969	-0.455983	0.651091	-0.859217	0.276650	-1.473375	-0.480475	-1.173225	-0.169500	0.308000	0.000000	1.350225	0.166000	0.762250	-0.061800	0.287900	0.000000	0.660574	0.320750	0.935450	-1.107176	0.685750	-0.150475	-0.875999	-0.845149
0.422239	-0.118875	0.074278	0.022471	0.641162	-0.015111	0.766928	0.036319	-0.603575	0.222994	-0.388946	0.205687	0.176815	-0.261799	0.475677	-0.149994	0.125774	0.137783	0.226430	0.261799	0.344243	0.423037	-0.891734	-0.574543	0.502338	-0.459259	0.632986	-0.877113	0.293025	-1.529500	-0.527450	-1.194675	-0.162175	0.322825	0.000000	1.411425	0.183875	0.802000	-0.074600	0.318750	0.000000	0.722950	0.352900	1.030475	-1.196151	0.721224	-0.164675	-0.940700	-0.908326
0.421347	-0.119309	0.075827	0.023311	0.635117	-0.014624	0.771926	0.042290	-0.634355	0.212101	-0.412885	0.202692	0.183307	-0.261799	0.504206	-0.146146	0.142149	0.136255	0.233083	0.261799	0.359087	0.429994	-0.870631	-0.598786	0.516818	-0.462570	0.613463	-0.895550	0.284550	-1.515076	-0.546425	-1.167975	-0.137775	0.309650	0.000000	1.408699	0.199300	0.805075	-0.082875	0.315050	0.000000	0.754300	0.340226	1.049525	-1.228949	0.743376	-0.168600	-0.982350	-0.943175
0.420376	-0.119722	0.077287	0.024139	0.629115	-0.014164	0.776808	0.047701	-0.664178	0.201137	-0.435665	0.200176	0.189201	-0.261799	0.532025	-0.142022	0.157977	0.134468	0.239032	0.261799	0.374415	0.436646	-0.849753	-0.623701	0.532073	-0.466003	0.593692	-0.914840	0.259625	-1.468000	-0.556075	-1.115800	-0.120600	0.293475	0.000000	1.382950	0.216800	0.783450	-0.091650	0.293225	0.000000	0.784250	0.340726	0.999926	-1.273601	0.772551	-0.184549	-0.957699	-0.992775
0.419193	-0.120106	0.078715	0.025015	0.623087	-0.013658	0.781633	0.052675	-0.693075	0.189858	-0.457517	0.197868	0.195046	-0.261799	0.559524	-0.137474	0.173487	0.132589	0.244812	0.261799	0.390457	0.443623	-0.830634	-0.649730	0.547720	-0.469952	0.575155	-0.935261	0.237525	-1.390825	-0.559725	-1.053225	-0.099350	0.279275	0.000000	1.335400	0.226275	0.763250	-0.092225	0.270700	0.000000	0.829650	0.353125	0.973526	-1.326075	0.796649	-0.226075	-0.903575	-1.055476
0.417877	-0.120458	0.079997	0.025978	0.617432	-0.013012	0.786087	0.057202	-0.719811	0.178748	-0.477794	0.196202	0.200372	-0.261799	0.585441	-0.132971	0.188507	0.130779	0.249860	0.261799	0.407601	0.450771	-0.810812	-0.676744	0.563939	-0.475046	0.557549	-0.957059	0.207900	-1.305649	-0.553525	-0.973748	-0.086500	0.256950	0.000000	1.283950	0.235800	0.749324	-0.110650	0.248324	0.000000	0.894274	0.343323	1.042546	-1.349674	0.831899	-0.252050	-0.890176	-1.105699
0.416575	-0.120797	0.081337	0.027019	0.611648	-0.012305	0.790573	0.060991	-0.745301	0.167717	-0.496467	0.194408	0.205324	-0.261799	0.610882	-0.128042	0.203460	0.128163	0.254745	0.261799	0.426228	0.457356	-0.788932	-0.703717	0.580996	-0.480034	0.539548	-0.979489	0.186175	-1.255074	-0.557450	-0.922450	-0.089125	0.255875	0.000000	1.277900	0.259650	0.768850	-0.116450	0.260975	0.000000	0.937025	0.321050	1.043674	-1.341525	0.859475	-0.251900	-0.876801	-1.128998
