body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20
-0.000000,-0.000000,0.753943,0.698235,-0.011963,-0.002488,-0.715765,-0.008443,-0.053372,-0.013053,-0.010073,0.423251,-0.306337,0.158559,0.038596,0.064591,0.102032,0.349812,-0.289374,-0.056968,-0.000627,0.013043,-0.114097,-0.008960,-0.001833,-0.005472,0.085141,-0.012023,0.236822,-10.367517,-0.540458,-7.478322,10.767083,-3.871095,-0.054273,8.239291,1.037431,5.177693,8.890678,-3.182273,-0.036665,-0.961295,1.492391,-15.405157,-1.750145,-1.067656,-0.354481,12.689817,-2.345004
-0.000157,0.005350,0.751216,0.698253,-0.008495,0.002173,-0.715797,-0.003707,-0.260723,-0.023863,-0.159640,0.638593,-0.383759,0.157474,0.203382,0.085340,0.205586,0.527625,-0.353020,-0.057701,-0.019853,0.042891,-0.422200,-0.043963,-0.023186,-0.012562,0.338937,-0.058923,0.132857,-5.493177,-0.303717,-3.964815,5.689785,-2.034621,-0.036914,4.359663,0.559064,2.732115,4.694288,-1.678427,-0.018554,-0.634278,0.822223,-8.782792,-1.041057,-0.668679,-0.176463,7.240273,-1.397276
-0.000228,0.005620,0.750986,0.698240,-0.008091,0.002657,-0.715813,-0.003129,-0.273099,-0.025202,-0.168666,0.650842,-0.387722,0.157083,0.212983,0.086954,0.211317,0.537583,-0.356511,-0.057710,-0.025998,0.045932,-0.465409,-0.050603,-0.028580,-0.012531,0.374752,-0.067914,0.020212,-0.419490,-0.047133,-0.306970,0.407553,-0.126868,-0.014691,0.327560,0.054289,0.194860,0.332019,-0.116299,-0.000925,-0.233658,0.105849,-1.564623,-0.247026,-0.201548,0.004742,1.299171,-0.334519
-0.000294,0.005672,0.750903,0.698232,-0.007828,0.002888,-0.715823,-0.002898,-0.277502,-0.025748,-0.171919,0.654895,-0.388834,0.156886,0.216484,0.087512,0.213381,0.540906,-0.357672,-0.057738,-0.029200,0.047125,-0.484785,-0.053844,-0.031248,-0.012372,0.390904,-0.072303,0.009582,-0.201879,-0.024376,-0.149716,0.184010,-0.049011,0.002744,0.160690,0.026171,0.095793,0.151779,-0.050195,-0.002304,-0.161062,0.055411,-0.940067,-0.160935,-0.132633,0.009483,0.784978,-0.217872
-0.000355,0.005731,0.750852,0.698246,-0.007662,0.003027,-0.715810,-0.002746,-0.281174,-0.026177,-0.174655,0.658203,-0.389683,0.157193,0.219410,0.088001,0.215149,0.543654,-0.358519,-0.057802,-0.032441,0.048149,-0.503012,-0.057040,-0.033885,-0.012152,0.406151,-0.076629,0.005985,-0.166841,-0.021477,-0.127525,0.149003,-0.041416,0.013510,0.133466,0.022635,0.079842,0.125627,-0.043054,0.000072,-0.162512,0.047395,-0.885530,-0.158504,-0.131051,0.012298,0.741032,-0.214665
-0.000415,0.005753,0.750788,0.698258,-0.007533,0.003141,-0.715799,-0.002659,-0.284176,-0.026607,-0.177020,0.660855,-0.390491,0.157427,0.221823,0.088417,0.216574,0.545931,-0.359394,-0.057735,-0.035700,0.049021,-0.520206,-0.060184,-0.036490,-0.011880,0.420546,-0.080890,0.004336,-0.135183,-0.018156,-0.102664,0.121534,-0.039776,0.000469,0.109364,0.018346,0.063046,0.104767,-0.040402,-0.001143,-0.163083,0.039736,-0.833683,-0.155811,-0.129352,0.014544,0.697432,-0.211420
-0.000461,0.005779,0.750748,0.698315,-0.007368,0.003277,-0.715746,-0.002572,-0.286582,-0.026903,-0.178761,0.663064,-0.391274,0.157211,0.223785,0.088735,0.217670,0.547845,-0.360135,-0.057848,-0.038964,0.049738,-0.536359,-0.063272,-0.039059,-0.011570,0.434048,-0.085085,-0.001401,-0.110315,-0.012829,-0.082883,0.098467,-0.034358,0.000022,0.089117,0.016161,0.052324,0.086702,-0.034847,-0.002047,-0.162528,0.032577,-0.785989,-0.153023,-0.127581,0.016248,0.655339,-0.208290
-0.000533,0.005766,0.750697,0.698353,-0.007262,0.003349,-0.715709,-0.002715,-0.288588,-0.027120,-0.180335,0.664793,-0.391865,0.157428,0.225388,0.089063,0.218667,0.549399,-0.360788,-0.057817,-0.042201,0.050324,-0.551646,-0.066305,-0.041593,-0.011231,0.446759,-0.089222,-0.008883,-0.093372,-0.009139,-0.064941,0.079681,-0.025874,-0.003099,0.077099,0.014779,0.048922,0.070252,-0.027948,-0.003029,-0.160630,0.025848,-0.743422,-0.150055,-0.126032,0.017427,0.615638,-0.205463
-0.000589,0.005757,0.750652,0.698480,-0.007091,0.003486,-0.715586,-0.002927,-0.290317,-0.027269,-0.181359,0.666251,-0.392309,0.157087,0.226869,0.089326,0.219627,0.550655,-0.361253,-0.057969,-0.045389,0.050772,-0.566096,-0.069275,-0.044101,-0.010873,0.458674,-0.093304,-0.012042,-0.075625,-0.006387,-0.049217,0.064105,-0.022434,-0.003181,0.067059,0.013752,0.043717,0.059392,-0.020245,-0.000474,-0.158133,0.019156,-0.702286,-0.146807,-0.124348,0.018141,0.577190,-0.202753
-0.000656,0.005722,0.750626,0.698537,-0.006998,0.003550,-0.715531,-0.003197,-0.291613,-0.027376,-0.182304,0.667358,-0.392762,0.157300,0.228070,0.089613,0.220416,0.551775,-0.361598,-0.057836,-0.048527,0.051090,-0.579737,-0.072178,-0.046567,-0.010505,0.469847,-0.097332,-0.010397,-0.057709,-0.003401,-0.039552,0.052929,-0.018179,0.000566,0.052049,0.012769,0.037118,0.050956,-0.020609,0.005964,-0.155396,0.013378,-0.663802,-0.143715,-0.122238,0.018566,0.541832,-0.200034
-0.000720,0.005679,0.750578,0.698580,-0.006926,0.003608,-0.715490,-0.003343,-0.292625,-0.027405,-0.182941,0.668369,-0.393036,0.157110,0.228951,0.089837,0.221112,0.552693,-0.362078,-0.057731,-0.051605,0.051307,-0.592648,-0.075023,-0.048990,-0.010130,0.480347,-0.101305,-0.005523,-0.045959,-0.000104,-0.025520,0.046346,-0.014948,-0.005655,0.040109,0.011732,0.032030,0.042231,-0.019193,-0.004356,-0.152207,0.008583,-0.626907,-0.140684,-0.119750,0.018752,0.508299,-0.197000
-0.000803,0.005630,0.750579,0.698592,-0.006842,0.003665,-0.715478,-0.003417,-0.293452,-0.027380,-0.183324,0.669212,-0.393360,0.157074,0.229674,0.090083,0.221697,0.553464,-0.362365,-0.058010,-0.054615,0.051434,-0.604814,-0.077805,-0.051357,-0.009755,0.490179,-0.105212,-0.003919,-0.036475,0.001470,-0.016674,0.039470,-0.015291,0.001211,0.031036,0.010758,0.025437,0.035012,-0.017367,-0.008585,-0.148797,0.004638,-0.591898,-0.137684,-0.116761,0.018669,0.477643,-0.193701
-0.000889,0.005599,0.750558,0.698589,-0.006792,0.003675,-0.715482,-0.003500,-0.294084,-0.027346,-0.183608,0.669947,-0.393647,0.157159,0.230192,0.090267,0.222129,0.554094,-0.362772,-0.058074,-0.057557,0.051493,-0.616324,-0.080531,-0.053660,-0.009383,0.499453,-0.109053,-0.001813,-0.027945,0.001117,-0.015015,0.031044,-0.011004,0.002697,0.025182,0.009812,0.019168,0.029957,-0.012481,-0.008119,-0.145688,0.001745,-0.559263,-0.134913,-0.113270,0.018354,0.451114,-0.190511
