body_pos_x	body_pos_y	body_pos_z	body_quat_w	body_quat_x	body_quat_y	body_quat_z	joint_pos00	joint_pos01	joint_pos02	joint_pos03	joint_pos04	joint_pos05	joint_pos06	joint_pos07	joint_pos08	joint_pos09	joint_pos10	joint_pos11	joint_pos12	joint_pos13	joint_pos14	joint_pos15	joint_pos16	joint_pos17	joint_pos18	joint_pos19	joint_pos20	joint_pos21	joint_pos22	joint_pos23	joint_pos24	joint_pos25	joint_pos26	joint_vel_00	joint_vel_01	joint_vel_02	joint_vel_03	joint_vel_04	joint_vel_05	joint_vel_06	joint_vel_07	joint_vel_08	joint_vel_09	joint_vel_10	joint_vel_11	joint_vel_12	joint_vel_13	joint_vel_14	joint_vel_15	joint_vel_16	joint_vel_17	joint_vel_18	joint_vel_19	joint_vel_20	joint_vel_21	joint_vel_22	joint_vel_23	joint_vel_24	joint_vel_25	joint_vel_26
0.081580	2.159432	0.962601	0.119519	-0.007047	-0.010182	0.992755	0.056681	0.267729	0.099783	0.013984	-0.157588	-0.085044	-0.036364	0.193331	0.012684	0.000022	-0.084770	0.073486	0.186444	-0.017932	0.027354	-0.014262	-0.022851	0.000864	0.004924	0.000000	-0.027049	-0.008809	0.055006	-0.026494	0.007055	-0.002322	0.000000	-1.106767	-6.313023	-8.501497	15.888849	-6.886604	0.373326	-1.333933	-6.397842	0.376853	4.477774	-4.653110	0.894977	-7.012175	-2.416691	5.957259	-6.988594	-6.833978	2.783839	1.590265	0.000000	-3.377125	-6.031600	16.026197	-6.419655	-0.962323	-1.425895	0.000000
0.073426	2.152587	0.957481	0.070976	0.000195	-0.001699	0.997477	0.034546	0.141469	-0.070247	0.331761	-0.295320	-0.077577	-0.063043	0.065374	0.020221	0.089577	-0.177832	0.091386	0.046201	-0.066266	0.146500	-0.154033	-0.159530	0.056541	0.036730	0.000000	-0.094591	-0.129441	0.375530	-0.154887	-0.012192	-0.030840	0.000000	-0.469074	-3.174265	-6.865738	12.276876	-5.135934	0.175256	-0.595236	-3.218102	-2.850024	7.304178	-4.348073	0.448590	-3.523771	-0.980583	3.114491	-3.590183	-3.694896	1.771831	0.882085	0.000000	-1.535138	-3.064786	8.204122	-3.447644	-0.838421	-0.750988	0.000000
0.074243	2.152589	0.951606	0.070639	-0.000133	-0.003332	0.997496	0.037918	0.140759	-0.174847	0.505059	-0.363025	-0.078034	-0.060174	0.064606	-0.101317	0.292189	-0.258693	0.091430	0.045494	-0.057155	0.151934	-0.157869	-0.170646	0.071737	0.040208	0.000000	-0.088454	-0.131401	0.383171	-0.164399	-0.026482	-0.032361	0.000000	-0.028729	-0.000902	-5.173962	8.517705	-3.355463	-0.030934	-0.080813	-0.008016	-8.639565	14.293750	-5.610198	0.022854	-0.015459	0.475036	0.144237	-0.144671	-0.585987	0.768572	0.163680	0.000000	0.313835	-0.170537	0.301294	-0.469705	-0.725782	-0.088337	0.000000
0.075577	2.152963	0.936597	0.070874	-0.000958	-0.001001	0.997485	0.033397	0.141433	-0.277206	0.672469	-0.429538	-0.078815	-0.066275	0.065053	-0.325362	0.661327	-0.402240	0.092300	0.045583	-0.047264	0.152269	-0.159820	-0.182970	0.087283	0.043277	0.000000	-0.082038	-0.136263	0.387582	-0.173675	-0.041223	-0.034373	0.000000	-0.159628	0.026828	-3.987050	6.378329	-2.490349	-0.024427	-0.217901	0.013254	-7.384750	11.963718	-4.589354	0.039696	-0.008030	0.501702	-0.014083	-0.073014	-0.649874	0.774447	0.164411	0.000000	0.312633	-0.272745	0.178258	-0.489067	-0.739352	-0.105824	0.000000
0.076707	2.152996	0.928204	0.071010	-0.002119	-0.000119	0.997473	0.031533	0.141832	-0.334329	0.760193	-0.462639	-0.079011	-0.068890	0.065137	-0.396707	0.770738	-0.442267	0.093018	0.045172	-0.037087	0.151371	-0.160789	-0.196641	0.102715	0.046784	0.000000	-0.075949	-0.142311	0.390301	-0.183962	-0.056056	-0.036594	0.000000	-0.052242	0.016389	-1.626852	2.489482	-0.934856	-0.008970	-0.072909	0.007213	-1.988077	3.031468	-1.105706	0.021224	-0.009953	0.493316	-0.010306	-0.049517	-0.622705	0.683523	0.174622	0.000000	0.312118	-0.238008	0.112723	-0.467312	-0.659947	-0.096120	0.000000
0.076904	2.152921	0.927185	0.071171	-0.002504	-0.000020	0.997461	0.031307	0.142088	-0.342280	0.772049	-0.466933	-0.079173	-0.069192	0.065342	-0.404885	0.782586	-0.446469	0.093149	0.045184	-0.027532	0.151857	-0.161801	-0.207878	0.114624	0.050262	0.000000	-0.069553	-0.145783	0.392091	-0.192367	-0.067621	-0.038218	0.000000	-0.005052	0.008422	-0.221293	0.320610	-0.112765	0.001633	-0.006851	0.008171	-0.227755	0.319955	-0.108398	0.003294	-0.002280	0.445450	0.030106	-0.040278	-0.511161	0.518247	0.160528	0.000000	0.301678	-0.144395	0.068457	-0.378679	-0.503098	-0.074212	0.000000
0.077010	2.152925	0.927122	0.071201	-0.002566	-0.000031	0.997459	0.031331	0.142169	-0.343180	0.773017	-0.467150	-0.078945	-0.069164	0.065463	-0.405817	0.783536	-0.446603	0.093149	0.045081	-0.019269	0.152575	-0.162400	-0.217088	0.123445	0.053205	0.000000	-0.063882	-0.148087	0.393040	-0.199109	-0.076180	-0.039563	0.000000	0.000251	0.005311	-0.028449	0.027013	-0.005007	0.007163	0.000768	0.006261	-0.030296	0.025642	-0.000522	-0.000662	-0.005426	0.384091	0.034731	-0.026830	-0.424694	0.386742	0.136811	0.000000	0.264012	-0.099980	0.037959	-0.313648	-0.374470	-0.062270	0.000000
0.077071	2.152889	0.927116	0.071267	-0.002590	-0.000042	0.997454	0.031317	0.142301	-0.343418	0.773129	-0.467133	-0.078887	-0.069161	0.065592	-0.406097	0.783612	-0.446489	0.093122	0.044967	-0.012168	0.153246	-0.162874	-0.224866	0.130094	0.055734	0.000000	-0.058992	-0.149782	0.393609	-0.204913	-0.082600	-0.040709	0.000000	0.000251	0.009440	-0.009695	0.003326	0.001359	0.001742	0.000887	0.007638	-0.011624	0.000761	0.007148	-0.001145	-0.001545	0.323757	0.029290	-0.017086	-0.363032	0.290604	0.117287	0.000000	0.228879	-0.079909	0.020243	-0.262961	-0.279422	-0.054952	0.000000
0.077119	2.152882	0.927117	0.071373	-0.002649	-0.000061	0.997446	0.031341	0.142546	-0.343568	0.773150	-0.467095	-0.078876	-0.069128	0.065769	-0.406282	0.783566	-0.446317	0.093103	0.045019	-0.006319	0.153747	-0.163084	-0.231609	0.135069	0.057897	0.000000	-0.054727	-0.151283	0.393849	-0.209628	-0.087357	-0.041761	0.000000	0.001633	0.013181	-0.007474	0.000581	0.002721	0.000017	0.001794	0.011237	-0.010420	-0.003219	0.009099	0.001867	0.000853	0.272766	0.022836	-0.015207	-0.309836	0.216574	0.098633	0.000000	0.197118	-0.072283	0.015292	-0.214758	-0.205601	-0.050142	0.000000
0.077183	2.152865	0.927135	0.071528	-0.002677	-0.000082	0.997435	0.031382	0.142828	-0.343717	0.773153	-0.467024	-0.078886	-0.069089	0.066042	-0.406514	0.783483	-0.446125	0.093197	0.045002	-0.001257	0.154159	-0.163482	-0.237259	0.138757	0.059679	0.000000	-0.051108	-0.152674	0.394221	-0.213504	-0.090824	-0.042714	0.000000	0.003282	0.013464	-0.005129	0.000194	0.002290	-0.002463	0.003213	0.011793	-0.009343	-0.003134	0.008903	0.002668	-0.004487	0.232924	0.016336	-0.017641	-0.263311	0.162228	0.080713	0.000000	0.166128	-0.062991	0.014240	-0.179810	-0.151684	-0.044462	0.000000
0.077249	2.152848	0.927142	0.071674	-0.002698	-0.000139	0.997425	0.031472	0.143085	-0.343773	0.773158	-0.467004	-0.078974	-0.069000	0.066241	-0.406656	0.783441	-0.445961	0.093210	0.044840	0.002998	0.154400	-0.163790	-0.242142	0.141558	0.061125	0.000000	-0.048081	-0.153803	0.394419	-0.216820	-0.093424	-0.043539	0.000000	0.005207	0.008489	-0.006180	0.000127	0.001942	-0.001345	0.005190	0.007418	-0.008591	-0.002101	0.008833	0.001252	-0.006043	0.194555	0.011181	-0.014300	-0.226542	0.121867	0.065364	0.000000	0.141579	-0.050795	0.005600	-0.149282	-0.112974	-0.037665	0.000000
0.077357	2.152853	0.927148	0.071705	-0.002712	-0.000189	0.997422	0.031590	0.143168	-0.343964	0.773158	-0.466946	-0.078940	-0.068882	0.066338	-0.406857	0.783399	-0.445772	0.093247	0.044760	0.006525	0.154607	-0.164054	-0.246321	0.143632	0.062294	0.000000	-0.045445	-0.154706	0.394445	-0.219475	-0.095343	-0.044221	0.000000	0.005691	0.006963	-0.008058	0.000374	0.001473	-0.002995	0.005535	0.008724	-0.010029	-0.001974	0.008202	0.000351	-0.000774	0.162393	0.010328	-0.010072	-0.192848	0.091331	0.053762	0.000000	0.119862	-0.039876	-0.007115	-0.125652	-0.084718	-0.030274	0.000000
0.077443	2.152862	0.927141	0.071799	-0.002728	-0.000216	0.997415	0.031700	0.143364	-0.344096	0.773173	-0.466945	-0.079094	-0.068778	0.066590	-0.407057	0.783362	-0.445633	0.093224	0.044809	0.009494	0.154813	-0.164192	-0.249855	0.145211	0.063276	0.000000	-0.043287	-0.155398	0.394134	-0.221846	-0.096813	-0.044750	0.000000	0.006825	0.017034	-0.005861	0.000349	0.000372	-0.009067	0.006842	0.014409	-0.010665	-0.001171	0.010262	-0.001768	-0.001851	0.137559	0.010692	-0.004137	-0.160128	0.068881	0.046831	0.000000	0.101477	-0.038258	-0.008138	-0.101761	-0.063102	-0.024514	0.000000
0.077552	2.152883	0.927140	0.071992	-0.002742	-0.000293	0.997402	0.031863	0.143849	-0.344198	0.773172	-0.466931	-0.079303	-0.068608	0.066915	-0.407284	0.783352	-0.445362	0.093176	0.044686	0.012027	0.155034	-0.164220	-0.252726	0.146387	0.064167	0.000000	-0.041386	-0.156236	0.394119	-0.223545	-0.097867	-0.045202	0.000000	0.006714	0.016507	-0.003059	0.000697	0.002767	-0.005725	0.006729	0.013233	-0.008804	0.000463	0.009819	-0.000890	-0.004978	0.116662	0.005792	-0.002208	-0.132910	0.051355	0.040523	0.000000	0.085829	-0.039310	-0.001768	-0.078133	-0.045813	-0.020905	0.000000
