body_pos_x	body_pos_y	body_pos_z	body_quat_w	body_quat_x	body_quat_y	body_quat_z	joint_pos00	joint_pos01	joint_pos02	joint_pos03	joint_pos04	joint_pos05	joint_pos06	joint_pos07	joint_pos08	joint_pos09	joint_pos10	joint_pos11	joint_pos12	joint_pos13	joint_pos14	joint_pos15	joint_pos16	joint_pos17	joint_pos18	joint_pos19	joint_pos20	joint_pos21	joint_pos22	joint_pos23	joint_pos24	joint_pos25	joint_pos26	joint_vel_00	joint_vel_01	joint_vel_02	joint_vel_03	joint_vel_04	joint_vel_05	joint_vel_06	joint_vel_07	joint_vel_08	joint_vel_09	joint_vel_10	joint_vel_11	joint_vel_12	joint_vel_13	joint_vel_14	joint_vel_15	joint_vel_16	joint_vel_17	joint_vel_18	joint_vel_19	joint_vel_20	joint_vel_21	joint_vel_22	joint_vel_23	joint_vel_24	joint_vel_25	joint_vel_26
0.080928	2.153255	0.938842	0.072754	-0.001448	-0.002426	0.997346	0.080322	0.143179	-0.285843	0.671687	-0.413383	-0.053830	-0.086575	0.065993	-0.353719	0.673712	-0.387455	0.116082	0.043722	0.003064	0.141890	-0.044903	-0.202704	0.043802	0.057951	0.000000	-0.042664	-0.128185	0.257441	-0.193664	0.031306	-0.042900	0.000000	-0.000346	0.005317	-0.012900	-0.000557	0.007156	-0.001755	0.000674	0.006147	-0.014068	-0.004166	0.010423	-0.000108	-0.007307	0.067443	0.058904	0.102041	0.007623	0.030060	0.046214	0.000000	0.038415	-0.027125	0.000423	-0.018925	-0.005728	-0.017197	0.000000
0.081040	2.153209	0.938847	0.072808	-0.001482	-0.002463	0.997342	0.080315	0.143286	-0.286101	0.671676	-0.413240	-0.053865	-0.086561	0.066116	-0.354001	0.673629	-0.387246	0.116080	0.043576	0.004413	0.143068	-0.042862	-0.202552	0.044403	0.058875	0.000000	-0.041896	-0.128728	0.257450	-0.194043	0.031191	-0.043244	0.000000	0.000255	0.009115	-0.012515	-0.001347	0.004389	-0.001231	0.000885	0.008299	-0.015139	-0.005050	0.008027	0.001492	0.001946	0.065694	0.063879	0.104645	0.009269	0.029505	0.045679	0.000000	0.038240	-0.027929	0.001290	-0.017977	-0.005217	-0.017353	0.000000
0.081113	2.153261	0.938841	0.072907	-0.001562	-0.002440	0.997335	0.080332	0.143544	-0.286343	0.671633	-0.413208	-0.053879	-0.086539	0.066325	-0.354325	0.673510	-0.387134	0.116142	0.043800	0.005692	0.144445	-0.040717	-0.202334	0.044982	0.059778	0.000000	-0.041134	-0.129302	0.257493	-0.194383	0.031097	-0.043594	0.000000	-0.000250	0.013477	-0.012045	-0.001022	0.003666	0.001501	0.000074	0.011334	-0.016535	-0.004181	0.007314	0.003639	0.008356	0.063007	0.074796	0.108114	0.013188	0.027876	0.046210	0.000000	0.036683	-0.029466	0.003485	-0.017282	-0.004144	-0.017761	0.000000
0.081223	2.153272	0.938847	0.073079	-0.001638	-0.002414	0.997322	0.080305	0.143825	-0.286582	0.671635	-0.413093	-0.053805	-0.086558	0.066569	-0.354662	0.673462	-0.386954	0.116225	0.043911	0.006933	0.146060	-0.038538	-0.202024	0.045518	0.060724	0.000000	-0.040428	-0.129906	0.257589	-0.194734	0.031026	-0.043954	0.000000	-0.001395	0.014364	-0.007854	0.000910	0.005607	-0.000871	-0.001005	0.012739	-0.014262	-0.000386	0.007362	0.002610	0.004546	0.061794	0.086323	0.107066	0.017488	0.025141	0.048475	0.000000	0.035808	-0.028065	0.015896	-0.019753	-0.001254	-0.016728	0.000000
0.081333	2.153304	0.938838	0.073194	-0.001632	-0.002381	0.997314	0.080276	0.144118	-0.286657	0.671669	-0.412983	-0.053914	-0.086579	0.066835	-0.354895	0.673495	-0.386839	0.116246	0.043982	0.008164	0.147898	-0.036435	-0.201634	0.045988	0.061717	0.000000	-0.039702	-0.130425	0.258129	-0.195174	0.031047	-0.044263	0.000000	-0.000522	0.016629	-0.002744	0.001013	0.002495	-0.002720	-0.000370	0.017454	-0.012105	0.001594	0.006525	-0.001505	0.000906	0.062596	0.096625	0.104741	0.022881	0.022444	0.050833	0.000000	0.034862	-0.025050	0.027358	-0.023582	0.000874	-0.015528	0.000000
0.081386	2.153324	0.938842	0.073374	-0.001630	-0.002366	0.997301	0.080284	0.144490	-0.286692	0.671675	-0.412994	-0.053914	-0.086573	0.067268	-0.355146	0.673526	-0.386693	0.116165	0.043947	0.009437	0.149925	-0.034348	-0.201109	0.046416	0.062757	0.000000	-0.039034	-0.130908	0.258683	-0.195677	0.031061	-0.044575	0.000000	-0.000169	0.019368	-0.001493	0.000954	0.000214	0.004413	-0.000433	0.019308	-0.011909	0.001740	0.006282	-0.002772	-0.001228	0.063392	0.102894	0.107666	0.028631	0.021563	0.051484	0.000000	0.030196	-0.025014	0.020288	-0.026447	-0.000932	-0.016636	0.000000
0.081466	2.153290	0.938828	0.073625	-0.001636	-0.002380	0.997282	0.080270	0.144893	-0.286717	0.671708	-0.412975	-0.053737	-0.086597	0.067607	-0.355372	0.673564	-0.386588	0.116135	0.043933	0.010699	0.152014	-0.032128	-0.200489	0.046850	0.063776	0.000000	-0.038494	-0.131426	0.258940	-0.196231	0.031010	-0.044928	0.000000	0.001008	0.021527	-0.001390	0.001112	0.000458	0.004498	0.000641	0.020037	-0.012955	0.002322	0.007781	-0.001352	-0.004730	0.061847	0.102463	0.119076	0.033159	0.023322	0.048144	0.000000	0.026179	-0.028346	0.012495	-0.026194	-0.002494	-0.018665	0.000000
0.081566	2.153273	0.938834	0.073822	-0.001633	-0.002393	0.997267	0.080324	0.145351	-0.286748	0.671720	-0.412975	-0.053734	-0.086547	0.068069	-0.355664	0.673618	-0.386381	0.116111	0.043758	0.011911	0.154023	-0.029585	-0.199783	0.047349	0.064683	0.000000	-0.037987	-0.132042	0.259183	-0.196725	0.030961	-0.045322	0.000000	0.003145	0.020682	-0.001577	0.001588	0.003373	0.000936	0.002670	0.020305	-0.011571	0.002033	0.007872	0.000873	-0.002081	0.055617	0.094357	0.136662	0.033390	0.027196	0.041103	0.000000	0.024864	-0.029627	0.011364	-0.024598	-0.002788	-0.018701	0.000000
0.081627	2.153309	0.938848	0.074063	-0.001629	-0.002418	0.997249	0.080395	0.145720	-0.286780	0.671771	-0.412840	-0.053700	-0.086490	0.068419	-0.355835	0.673646	-0.386273	0.116170	0.043850	0.012924	0.155788	-0.026662	-0.199153	0.047938	0.065421	0.000000	-0.037500	-0.132611	0.259395	-0.197215	0.030898	-0.045676	0.000000	0.002441	0.021426	-0.002152	0.001848	0.005700	0.001641	0.001707	0.020169	-0.010596	-0.000429	0.005858	0.000816	0.005911	0.047384	0.083999	0.150443	0.030717	0.030223	0.033370	0.000000	0.022841	-0.027696	0.006314	-0.024762	-0.003966	-0.016936	0.000000
0.081683	2.153335	0.938850	0.074237	-0.001650	-0.002408	0.997236	0.080422	0.146208	-0.286834	0.671794	-0.412747	-0.053668	-0.086479	0.068876	-0.356088	0.673601	-0.386147	0.116144	0.043994	0.013806	0.157383	-0.023567	-0.198554	0.048558	0.066017	0.000000	-0.037073	-0.133150	0.259436	-0.197716	0.030802	-0.045999	0.000000	0.002082	0.026616	-0.002121	-0.000072	0.002774	0.000602	0.001281	0.026024	-0.014032	-0.001812	0.008631	-0.001477	0.005057	0.041700	0.077419	0.155152	0.029123	0.030390	0.028099	0.000000	0.021045	-0.026240	0.002833	-0.025023	-0.004098	-0.014780	0.000000
